"Office","State","RaceDate","CensusPop","Area","AreaType","TotalVotes","RepVotes","RepCandidate","RepStatus","DemVotes","DemCandidate","DemStatus","ThirdParty","ThirdVotes","ThirdCandidate","ThirdStatus","OtherVotes","PluralityVotes","PluralityParty","RepVotesTotalPercent","DemVotesTotalPercent","ThirdVotesTotalPercent","OtherVotesTotalPercent","RepVotesMajorPercent","DemVotesMajorPercent","RaceNotes","TitleNotes","OtherNotes"
"President","Alabama","19881108","N/A","AUTAUGA","County","11,661","7,828","Bush, George H.","Challenger","3,667","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","166","4,161","R","67.13","31.45",".00","1.42","68.10","31.90",NA,NA,NA
"President","Alabama","19881108","N/A","BALDWIN","County","35,598","25,933","Bush, George H.","Challenger","9,271","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","394","16,662","R","72.85","26.04",".00","1.11","73.66","26.34",NA,NA,NA
"President","Alabama","19881108","N/A","BARBOUR","County","8,900","4,958","Bush, George H.","Challenger","3,836","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","106","1,122","R","55.71","43.10",".00","1.19","56.38","43.62",NA,NA,NA
"President","Alabama","19881108","N/A","BIBB","County","5,146","2,885","Bush, George H.","Challenger","2,244","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","17","641","R","56.06","43.61",".00",".33","56.25","43.75",NA,NA,NA
"President","Alabama","19881108","N/A","BLOUNT","County","13,548","8,754","Bush, George H.","Challenger","4,485","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","309","4,269","R","64.61","33.10",".00","2.28","66.12","33.88",NA,NA,NA
"President","Alabama","19881108","N/A","BULLOCK","County","4,584","1,421","Bush, George H.","Challenger","3,122","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","41","1,701","D","31.00","68.11",".00",".89","31.28","68.72",NA,NA,NA
"President","Alabama","19881108","N/A","BUTLER","County","7,460","3,923","Bush, George H.","Challenger","3,465","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","72","458","R","52.59","46.45",".00",".97","53.10","46.90",NA,NA,NA
"President","Alabama","19881108","N/A","CALHOUN","County","33,970","19,806","Bush, George H.","Challenger","12,451","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","1,713","7,355","R","58.30","36.65",".00","5.04","61.40","38.60",NA,NA,NA
"President","Alabama","19881108","N/A","CHAMBERS","County","12,956","7,694","Bush, George H.","Challenger","5,103","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","159","2,591","R","59.39","39.39",".00","1.23","60.12","39.88",NA,NA,NA
"President","Alabama","19881108","N/A","CHEROKEE","County","6,101","2,868","Bush, George H.","Challenger","3,176","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","57","308","D","47.01","52.06",".00",".93","47.45","52.55",NA,NA,NA
"President","Alabama","19881108","N/A","CHILTON","County","12,623","8,761","Bush, George H.","Challenger","3,820","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","42","4,941","R","69.41","30.26",".00",".33","69.64","30.36",NA,NA,NA
"President","Alabama","19881108","N/A","CHOCTAW","County","7,131","3,629","Bush, George H.","Challenger","3,491","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","11","138","R","50.89","48.96",".00",".15","50.97","49.03",NA,NA,NA
"President","Alabama","19881108","N/A","CLARKE","County","10,021","5,708","Bush, George H.","Challenger","4,217","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","96","1,491","R","56.96","42.08",".00",".96","57.51","42.49",NA,NA,NA
"President","Alabama","19881108","N/A","CLAY","County","5,239","3,496","Bush, George H.","Challenger","1,602","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","141","1,894","R","66.73","30.58",".00","2.69","68.58","31.42",NA,NA,NA
"President","Alabama","19881108","N/A","CLEBURNE","County","4,491","3,071","Bush, George H.","Challenger","1,383","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","37","1,688","R","68.38","30.79",".00",".82","68.95","31.05",NA,NA,NA
"President","Alabama","19881108","N/A","COFFEE","County","13,357","8,890","Bush, George H.","Challenger","4,319","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","148","4,571","R","66.56","32.34",".00","1.11","67.30","32.70",NA,NA,NA
"President","Alabama","19881108","N/A","COLBERT","County","18,409","7,775","Bush, George H.","Challenger","10,397","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","237","2,622","D","42.23","56.48",".00","1.29","42.79","57.21",NA,NA,NA
"President","Alabama","19881108","N/A","CONECUH","County","6,357","3,256","Bush, George H.","Challenger","3,022","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","79","234","R","51.22","47.54",".00","1.24","51.86","48.14",NA,NA,NA
"President","Alabama","19881108","N/A","COOSA","County","4,283","2,405","Bush, George H.","Challenger","1,860","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","18","545","R","56.15","43.43",".00",".42","56.39","43.61",NA,NA,NA
"President","Alabama","19881108","N/A","COVINGTON","County","12,075","8,130","Bush, George H.","Challenger","3,845","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","100","4,285","R","67.33","31.84",".00",".83","67.89","32.11",NA,NA,NA
"President","Alabama","19881108","N/A","CRENSHAW","County","4,478","2,617","Bush, George H.","Challenger","1,836","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","25","781","R","58.44","41.00",".00",".56","58.77","41.23",NA,NA,NA
"President","Alabama","19881108","N/A","CULLMAN","County","23,197","14,351","Bush, George H.","Challenger","8,517","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","329","5,834","R","61.87","36.72",".00","1.42","62.76","37.24",NA,NA,NA
"President","Alabama","19881108","N/A","DALE","County","12,909","9,266","Bush, George H.","Challenger","3,476","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","167","5,790","R","71.78","26.93",".00","1.29","72.72","27.28",NA,NA,NA
"President","Alabama","19881108","N/A","DALLAS","County","17,423","7,630","Bush, George H.","Challenger","9,660","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","133","2,030","D","43.79","55.44",".00",".76","44.13","55.87",NA,NA,NA
"President","Alabama","19881108","N/A","DEKALB","County","18,971","11,478","Bush, George H.","Challenger","7,333","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","160","4,145","R","60.50","38.65",".00",".84","61.02","38.98",NA,NA,NA
"President","Alabama","19881108","N/A","ELMORE","County","15,540","10,852","Bush, George H.","Challenger","4,501","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","187","6,351","R","69.83","28.96",".00","1.20","70.68","29.32",NA,NA,NA
"President","Alabama","19881108","N/A","ESCAMBIA","County","10,954","6,807","Bush, George H.","Challenger","4,020","Dukakis, Michael S.","Challenger","N/A","N/A","N/A","N/A","127","2,787","R","62.14","36.70",".00","1.16","62.87","37.13",NA,NA,NA
