"state","total_votes","rep_votes","dem_votes","third_votes","other_votes","year","county"
"Louisiana",7430,0.5082,0.483,0,0.0087,2008,"bienville"
"Louisiana",45835,0.7137,0.2771,0,0.0091,2008,"bossier"
"Louisiana",108660,0.4807,0.5111,0,0.0082,2008,"caddo"
"Louisiana",82131,0.6143,0.3682,0,0.0175,2008,"calcasieu"
"Louisiana",4893,0.7554,0.2285,0,0.0161,2008,"caldwell"
"Louisiana",3793,0.8144,0.1616,0,0.024,2008,"cameron"
"Louisiana",5225,0.6672,0.3175,0,0.0153,2008,"catahoula"
"Louisiana",6841,0.5482,0.4422,0,0.0096,2008,"claiborne"
"Louisiana",9527,0.5949,0.3953,0,0.0098,2008,"concordia"
"Louisiana",12257,0.5616,0.4277,0,0.0108,2008,"de soto"
"Louisiana",197349,0.4834,0.505,0,0.0117,2008,"east baton rouge"
"Louisiana",3559,0.3523,0.637,0,0.0107,2008,"east carroll"
"Louisiana",9947,0.5461,0.4406,0,0.0133,2008,"east feliciana"
"Louisiana",15976,0.613,0.3664,0,0.0207,2008,"evangeline"
"Louisiana",9358,0.6709,0.3164,0,0.0127,2008,"franklin"
"Louisiana",8558,0.8071,0.1722,0,0.0207,2008,"grant"
"Louisiana",33168,0.6068,0.3766,0,0.0166,2008,"iberia"
"Louisiana",16421,0.4375,0.5495,0,0.013,2008,"iberville"
"Louisiana",7736,0.6709,0.3175,0,0.0116,2008,"jackson"
"Louisiana",181120,0.625,0.3594,0,0.0156,2008,"jefferson"
"Louisiana",13501,0.6872,0.2906,0,0.0222,2008,"jefferson davis"
"Louisiana",6553,0.8549,0.1312,0,0.0139,2008,"la salle"
"Louisiana",95642,0.6488,0.3361,0,0.0151,2008,"lafayette"
"Louisiana",37893,0.7149,0.255,0,0.0301,2008,"lafourche"
"Louisiana",19179,0.5569,0.4323,0,0.0108,2008,"lincoln"
"Louisiana",50892,0.8502,0.1313,0,0.0185,2008,"livingston"
"Louisiana",5300,0.406,0.5849,0,0.0091,2008,"madison"
"Louisiana",13200,0.5498,0.4388,0,0.0114,2008,"morehouse"
"Louisiana",17067,0.5305,0.4571,0,0.0124,2008,"natchitoches"
