county,state,total_pop,white,black,asian,latino,other,pct_white,pct_black,pct_asian,pct_latino,pct_other
"Hill County, Texas",tx,34923,25155,2523,148,6794,303,0.720298943,0.072244653,0.004237895,0.194542279,0.008676231
"Hockley County, Texas",tx,23322,11293,821,84,10709,415,0.484220907,0.035202813,0.003601749,0.459180173,0.017794357
"Hood County, Texas",tx,53171,45494,435,333,6040,869,0.855616784,0.008181151,0.006262812,0.113595757,0.016343496
"Hopkins County, Texas",tx,35645,26531,2436,253,5695,730,0.744311965,0.068340581,0.00709777,0.159769954,0.020479731
"Houston County, Texas",tx,22949,14212,5865,34,2431,407,0.619286243,0.255566691,0.001481546,0.105930542,0.017734978
"Howard County, Texas",tx,36105,18604,2109,337,14394,661,0.515274893,0.058412962,0.009333887,0.398670544,0.018307714
"Hudspeth County, Texas",tx,3330,643,42,26,2612,7,0.193093093,0.012612613,0.007807808,0.784384384,0.002102102
"Hunt County, Texas",tx,88052,64732,7438,1038,12886,1958,0.735156498,0.084472812,0.011788489,0.146345341,0.02223686
"Hutchinson County, Texas",tx,21858,15704,596,134,4801,623,0.718455485,0.027266905,0.006130479,0.219644981,0.02850215
"Irion County, Texas",tx,1644,1179,0,0,412,53,0.717153285,0,0,0.250608273,0.032238443
"Jack County, Texas",tx,8946,7036,459,4,1410,37,0.786496758,0.051307847,0.000447127,0.157612341,0.004135927
"Jackson County, Texas",tx,14486,8791,1049,30,4468,148,0.606861798,0.072414745,0.002070965,0.308435731,0.010216761
"Jasper County, Texas",tx,35768,26640,5822,131,2312,863,0.744799821,0.162771192,0.003662492,0.064638783,0.024127712
"Jeff Davis County, Texas",tx,2232,1318,7,24,859,24,0.590501792,0.003136201,0.010752688,0.384856631,0.010752688
"Jefferson County, Texas",tx,252872,108386,84994,8824,46984,3684,0.428620013,0.336114714,0.034895125,0.185801512,0.014568636
"Jim Hogg County, Texas",tx,5239,345,66,0,4817,11,0.065852262,0.012597824,0,0.919450277,0.002099637
"Jim Wells County, Texas",tx,41461,7867,240,150,32949,255,0.189744579,0.005788572,0.003617858,0.794698632,0.006150358
"Johnson County, Texas",tx,155450,115978,4003,1274,30351,3844,0.746079125,0.025751045,0.008195561,0.19524606,0.024728208
"Jones County, Texas",tx,19978,11101,3070,77,5313,417,0.555661227,0.153669036,0.00385424,0.265942537,0.02087296
"Karnes County, Texas",tx,14879,5829,1340,32,7659,19,0.391760199,0.090059816,0.002150682,0.514752336,0.001276968
"Kaufman County, Texas",tx,109289,74442,10412,896,20552,2987,0.681148148,0.095270338,0.008198446,0.188051862,0.027331204
"Kendall County, Texas",tx,37361,28070,331,245,8161,554,0.75131822,0.008859506,0.00655764,0.218436337,0.014828297
"Kenedy County, Texas",tx,565,190,0,1,374,0,0.336283186,0,0.001769912,0.661946903,0
"Kent County, Texas",tx,821,669,3,0,147,2,0.814859927,0.00365408,0,0.179049939,0.002436054
"Kerr County, Texas",tx,50149,35410,820,428,12699,792,0.706095834,0.016351273,0.008534567,0.253225388,0.015792937
"Kimble County, Texas",tx,4486,3357,1,0,1090,38,0.748328132,0.000222916,0,0.242978154,0.008470798
"King County, Texas",tx,267,201,0,0,66,0,0.752808989,0,0,0.247191011,0
"Kinney County, Texas",tx,3577,1335,43,0,2221,-22,0.37321778,0.012021247,0,0.620911378,-0.006150405
"Kleberg County, Texas",tx,32029,7029,1298,647,22846,209,0.219457367,0.040525774,0.020200443,0.71329108,0.006525336
"Knox County, Texas",tx,3796,2275,280,3,1255,-17,0.599315068,0.073761855,0.000790306,0.33061117,-0.004478398
"Lamar County, Texas",tx,49566,37247,6199,409,3561,2150,0.751462696,0.125065569,0.008251624,0.071843602,0.043376508
"Lamb County, Texas",tx,13742,5640,802,21,7356,-77,0.410420608,0.058361228,0.001528162,0.535293262,-0.00560326
"Lampasas County, Texas",tx,20219,14841,843,186,3791,558,0.734012562,0.041693457,0.009199268,0.187496909,0.027597804
"La Salle County, Texas",tx,7191,1102,72,0,5986,31,0.153247114,0.010012516,0,0.832429426,0.004310944
"Lavaca County, Texas",tx,19549,14590,1363,75,3428,93,0.746329736,0.069722236,0.003836513,0.175354238,0.004757277
"Lee County, Texas",tx,16664,10679,1911,68,3847,159,0.640842535,0.114678349,0.004080653,0.230856937,0.009541527
"Leon County, Texas",tx,16819,12918,1318,60,2347,176,0.768059932,0.078363755,0.003567394,0.139544563,0.010464356
"Liberty County, Texas",tx,77486,52077,8287,517,15521,1084,0.672082699,0.106948352,0.006672173,0.200307152,0.013989624
"Limestone County, Texas",tx,23454,14137,4131,136,4795,255,0.602754328,0.176132003,0.005798584,0.204442739,0.010872346
"Lipscomb County, Texas",tx,3483,2318,13,27,1036,89,0.665518231,0.003732415,0.007751938,0.297444732,0.025552684
"Live Oak County, Texas",tx,11873,6762,396,145,4386,184,0.569527499,0.033352986,0.012212583,0.369409585,0.015497347
"Llano County, Texas",tx,19323,16939,432,53,1792,107,0.876623713,0.022356777,0.002742845,0.092739223,0.005537442
"Loving County, Texas",tx,117,48,0,0,41,28,0.41025641,0,0,0.35042735,0.239316239
"Lubbock County, Texas",tx,290782,161779,20682,5890,97317,5114,0.556358372,0.071125448,0.020255724,0.334673398,0.017587058
"Lynn County, Texas",tx,5764,2843,71,12,2726,112,0.493233865,0.012317835,0.002081888,0.472935461,0.019430951
"McCulloch County, Texas",tx,8273,5432,136,0,2550,155,0.656593739,0.016439018,0,0.308231597,0.018735646
"McLennan County, Texas",tx,241505,139244,34776,3768,59946,3771,0.576567773,0.143997019,0.015602161,0.248218463,0.015614584
"McMullen County, Texas",tx,778,392,0,0,374,12,0.503856041,0,0,0.480719794,0.015424165
