state,area,total_votes,rep_votes,dem_votes,third_votes,other_votes,year
Arkansas,BAXTER,15732,0.3585,0.4444,0.1868,0.0104,1992
Arkansas,BENTON,43279,0.4881,0.3645,0.1416,0.0058,1992
Arkansas,BOONE,14437,0.4221,0.4245,0.144,0.0094,1992
Arkansas,BRADLEY,4837,0.3064,0.6107,0.0808,0.0021,1992
Arkansas,CALHOUN,2702,0.3875,0.5141,0.0951,0.0033,1992
Arkansas,CARROLL,8857,0.3991,0.4255,0.1694,0.006,1992
Arkansas,CHICOT,5099,0.2436,0.6872,0.0681,0.0012,1992
Arkansas,CLARK,8922,0.2693,0.6464,0.08,0.0043,1992
Arkansas,CLAY,7080,0.2326,0.6847,0.0802,0.0024,1992
Arkansas,CLEBURNE,9980,0.3587,0.51,0.1266,0.0047,1992
Arkansas,CLEVELAND,3378,0.3336,0.5604,0.0998,0.0062,1992
Arkansas,COLUMBIA,9819,0.377,0.4835,0.111,0.0285,1992
Arkansas,CONWAY,8481,0.3206,0.5775,0.0947,0.0072,1992
Arkansas,CRAIGHEAD,25596,0.3557,0.5443,0.0888,0.0112,1992
Arkansas,CRAWFORD,16165,0.4257,0.4118,0.1511,0.0114,1992
Arkansas,CRITTENDEN,17108,0.3455,0.566,0.0496,0.039,1992
Arkansas,CROSS,6986,0.3297,0.5809,0.0862,0.0033,1992
Arkansas,DALLAS,3925,0.3715,0.5368,0.0879,0.0038,1992
Arkansas,DESHA,5621,0.2275,0.6787,0.0697,0.024,1992
Arkansas,DREW,6298,0.3077,0.5951,0.0946,0.0025,1992
Arkansas,FAULKNER,25215,0.3764,0.5156,0.0966,0.0114,1992
Arkansas,FRANKLIN,6736,0.3704,0.4776,0.1465,0.0055,1992
Arkansas,FULTON,4736,0.2656,0.5969,0.1332,0.0042,1992
Arkansas,GARLAND,35995,0.358,0.5226,0.0965,0.0229,1992
Arkansas,GRANT,6198,0.3666,0.5147,0.1133,0.0055,1992
Arkansas,GREENE,12322,0.2849,0.612,0.0984,0.0047,1992
Arkansas,HEMPSTEAD,8922,0.2675,0.6138,0.1145,0.0041,1992
Arkansas,HOT SPRING,10616,0.286,0.5942,0.1139,0.0059,1992
Arkansas,HOWARD,4975,0.3473,0.5556,0.0937,0.0034,1992
Arkansas,INDEPENDENCE,12840,0.3296,0.5516,0.1125,0.0063,1992
Arkansas,IZARD,5588,0.2742,0.6118,0.1084,0.0055,1992
Arkansas,JACKSON,7524,0.2477,0.6571,0.0894,0.0057,1992
Arkansas,JEFFERSON,31692,0.2374,0.6885,0.0652,0.0089,1992
Arkansas,JOHNSON,7578,0.3382,0.5214,0.1337,0.0067,1992
Arkansas,LAFAYETTE,3979,0.2986,0.5712,0.1267,0.0035,1992
Arkansas,LAWRENCE,6929,0.3065,0.5984,0.0918,0.0033,1992
Arkansas,LEE,5066,0.2552,0.6782,0.0608,0.0057,1992
Arkansas,LINCOLN,4347,0.2627,0.6453,0.0897,0.0023,1992
Arkansas,LITTLE RIVER,5718,0.2594,0.5818,0.1556,0.0031,1992
Arkansas,LOGAN,8687,0.3923,0.4599,0.1404,0.0074,1992
Arkansas,LONOKE,15824,0.3952,0.5032,0.0982,0.0034,1992
Arkansas,MADISON,5277,0.4241,0.4576,0.1133,0.0049,1992
Arkansas,MARION,6245,0.3239,0.4415,0.2125,0.0221,1992
Arkansas,MILLER,14623,0.3606,0.4821,0.1538,0.0035,1992
Arkansas,MISSISSIPPI,15962,0.2943,0.6294,0.0615,0.0149,1992
Arkansas,MONROE,4272,0.3099,0.6035,0.0831,0.0035,1992
Arkansas,MONTGOMERY,3712,0.3246,0.5129,0.1552,0.0073,1992
Arkansas,NEVADA,3948,0.3083,0.5679,0.1152,0.0086,1992
Arkansas,NEWTON,4144,0.4175,0.4259,0.1467,0.0099,1992
Arkansas,OUACHITA,12415,0.2989,0.5969,0.0997,0.0044,1992
Arkansas,PERRY,3504,0.3316,0.5439,0.1176,0.0068,1992
Arkansas,PHILLIPS,9837,0.274,0.6563,0.0645,0.0053,1992
Arkansas,PIKE,4232,0.3726,0.5123,0.1115,0.0035,1992
Arkansas,POINSETT,8571,0.2829,0.6231,0.0888,0.0051,1992
Arkansas,POLK,7217,0.382,0.4381,0.1697,0.0101,1992
Arkansas,POPE,17862,0.451,0.4313,0.1114,0.0063,1992
Arkansas,PRAIRIE,3956,0.2917,0.5981,0.1097,5.00E-04,1992
Arkansas,PULASKI,136957,0.3489,0.5803,0.0639,0.0068,1992
Arkansas,RANDOLPH,6314,0.2797,0.621,0.0915,0.0078,1992
Arkansas,SALINE,25661,0.3938,0.4938,0.1072,0.0052,1992
Arkansas,SCOTT,4562,0.3715,0.4884,0.1337,0.0064,1992
Arkansas,SEARCY,3984,0.4448,0.4214,0.1263,0.0075,1992
Arkansas,SEBASTIAN,39659,0.424,0.4178,0.1519,0.0063,1992
Arkansas,SEVIER,5011,0.3177,0.5105,0.1283,0.0435,1992
Arkansas,SHARP,7196,0.3455,0.5227,0.128,0.0039,1992
Arkansas,ST. FRANCIS,10635,0.3093,0.6157,0.072,0.003,1992
Arkansas,STONE,5039,0.3318,0.5203,0.1383,0.0095,1992
Arkansas,UNION,18580,0.3932,0.4729,0.1033,0.0307,1992
Arkansas,VAN BUREN,7361,0.3548,0.5188,0.1206,0.0057,1992
Arkansas,WASHINGTON,47880,0.4238,0.4601,0.1108,0.0053,1992
Arkansas,WHITE,21563,0.396,0.4867,0.1097,0.0077,1992
Arkansas,WOODRUFF,3495,0.1934,0.7408,0.0649,9.00E-04,1992
Arkansas,YELL,7643,0.3279,0.5449,0.123,0.0042,1992
California,ALAMEDA,530145,0.2062,0.6304,0.154,0.0094,1992
California,ALPINE,631,0.3518,0.3407,0.2948,0.0127,1992
California,AMADOR,15434,0.3549,0.3425,0.295,0.0076,1992
California,BUTTE,85014,0.3718,0.3822,0.238,0.0081,1992
California,CALAVERAS,16991,0.3535,0.3525,0.2853,0.0087,1992
California,COLUSA,5635,0.4594,0.3191,0.214,0.0075,1992
California,CONTRA COSTA,382823,0.2951,0.5093,0.1894,0.0062,1992
California,DEL NORTE,9353,0.3296,0.3891,0.2753,0.006,1992
California,EL DORADO,64887,0.3992,0.3238,0.2697,0.0072,1992
California,FRESNO,219161,0.4067,0.4217,0.1656,0.006,1992
California,GLENN,8816,0.4324,0.3024,0.2584,0.0068,1992
California,HUMBOLDT,60021,0.3049,0.4807,0.2056,0.0088,1992
California,IMPERIAL,25318,0.3855,0.4388,0.1677,0.008,1992
California,INYO,8464,0.4358,0.3184,0.2362,0.0096,1992
California,KERN,179263,0.4505,0.3375,0.2058,0.0061,1992
California,KINGS,25651,0.4161,0.3891,0.191,0.0038,1992
