"Office","State","RaceDate","CensusPop","Area","AreaType","RepVotes","RepCandidate","RepStatus","DemVotes","DemCandidate","DemStatus","ThirdParty","ThirdVotes","ThirdCandidate","ThirdStatus","OtherVotes","PluralityVotes","PluralityParty","ThirdVotesTotalPercent","RepVotesMajorPercent","DemVotesMajorPercent","RaceNotes","TitleNotes","OtherNotes"
"Senate","Kentucky","19961105","N/A","ADAIR","County","3,833","McConnell, A. Mitch","Incumbent","1,671","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","118","2,162","R",".00","69.64","30.36","","",""
"Senate","Kentucky","19961105","N/A","ALLEN","County","3,399","McConnell, A. Mitch","Incumbent","1,512","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","94","1,887","R",".00","69.21","30.79","","",""
"Senate","Kentucky","19961105","N/A","ANDERSON","County","3,468","McConnell, A. Mitch","Incumbent","2,699","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","118","769","R",".00","56.23","43.77","","",""
"Senate","Kentucky","19961105","N/A","BALLARD","County","1,609","McConnell, A. Mitch","Incumbent","2,002","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","N/A","393","D",".00","44.56","55.44","","",""
"Senate","Kentucky","19961105","N/A","BARREN","County","6,506","McConnell, A. Mitch","Incumbent","4,277","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","103","2,229","R",".00","60.34","39.66","","",""
"Senate","Kentucky","19961105","N/A","BATH","County","1,487","McConnell, A. Mitch","Incumbent","1,665","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","61","178","D",".00","47.18","52.82","","",""
"Senate","Kentucky","19961105","N/A","BELL","County","4,257","McConnell, A. Mitch","Incumbent","3,365","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","286","892","R",".00","55.85","44.15","","",""
"Senate","Kentucky","19961105","N/A","BOONE","County","17,157","McConnell, A. Mitch","Incumbent","6,605","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","453","10,552","R",".00","72.20","27.80","","",""
"Senate","Kentucky","19961105","N/A","BOURBON","County","3,068","McConnell, A. Mitch","Incumbent","2,626","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","98","442","R",".00","53.88","46.12","","",""
"Senate","Kentucky","19961105","N/A","BOYD","County","8,764","McConnell, A. Mitch","Incumbent","8,801","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","267","37","D",".00","49.89","50.11","","",""
"Senate","Kentucky","19961105","N/A","BOYLE","County","4,597","McConnell, A. Mitch","Incumbent","3,455","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","116","1,142","R",".00","57.09","42.91","","",""
"Senate","Kentucky","19961105","N/A","BRACKEN","County","1,693","McConnell, A. Mitch","Incumbent","798","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","43","895","R",".00","67.96","32.04","","",""
"Senate","Kentucky","19961105","N/A","BREATHITT","County","1,416","McConnell, A. Mitch","Incumbent","2,986","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","59","1,570","D",".00","32.17","67.83","","",""
"Senate","Kentucky","19961105","N/A","BRECKINRIDGE","County","3,694","McConnell, A. Mitch","Incumbent","2,547","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","60","1,147","R",".00","59.19","40.81","","",""
"Senate","Kentucky","19961105","N/A","BULLITT","County","10,021","McConnell, A. Mitch","Incumbent","7,065","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","312","2,956","R",".00","58.65","41.35","","",""
"Senate","Kentucky","19961105","N/A","BUTLER","County","2,829","McConnell, A. Mitch","Incumbent","1,058","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","37","1,771","R",".00","72.78","27.22","","",""
"Senate","Kentucky","19961105","N/A","CALDWELL","County","2,569","McConnell, A. Mitch","Incumbent","2,312","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","71","257","R",".00","52.63","47.37","","",""
"Senate","Kentucky","19961105","N/A","CALLOWAY","County","6,165","McConnell, A. Mitch","Incumbent","4,651","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","203","1,514","R",".00","57.00","43.00","","",""
"Senate","Kentucky","19961105","N/A","CAMPBELL","County","19,346","McConnell, A. Mitch","Incumbent","8,909","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","630","10,437","R",".00","68.47","31.53","","",""
"Senate","Kentucky","19961105","N/A","CARLISLE","County","1,059","McConnell, A. Mitch","Incumbent","1,139","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","25","80","D",".00","48.18","51.82","","",""
"Senate","Kentucky","19961105","N/A","CARROLL","County","1,484","McConnell, A. Mitch","Incumbent","1,404","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","76","80","R",".00","51.39","48.61","","",""
"Senate","Kentucky","19961105","N/A","CARTER","County","3,740","McConnell, A. Mitch","Incumbent","3,363","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","94","377","R",".00","52.65","47.35","","",""
"Senate","Kentucky","19961105","N/A","CASEY","County","3,333","McConnell, A. Mitch","Incumbent","1,086","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","108","2,247","R",".00","75.42","24.58","","",""
"Senate","Kentucky","19961105","N/A","CHRISTIAN","County","8,756","McConnell, A. Mitch","Incumbent","5,864","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","319","2,892","R",".00","59.89","40.11","","",""
"Senate","Kentucky","19961105","N/A","CLARK","County","5,353","McConnell, A. Mitch","Incumbent","4,792","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","172","561","R",".00","52.76","47.24","","",""
"Senate","Kentucky","19961105","N/A","CLAY","County","3,858","McConnell, A. Mitch","Incumbent","1,600","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","110","2,258","R",".00","70.69","29.31","","",""
"Senate","Kentucky","19961105","N/A","CLINTON","County","2,708","McConnell, A. Mitch","Incumbent","882","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","56","1,826","R",".00","75.43","24.57","","",""
"Senate","Kentucky","19961105","N/A","CRITTENDEN","County","1,783","McConnell, A. Mitch","Incumbent","1,397","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","99","386","R",".00","56.07","43.93","","",""
"Senate","Kentucky","19961105","N/A","CUMBERLAND","County","1,701","McConnell, A. Mitch","Incumbent","623","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","48","1,078","R",".00","73.19","26.81","","",""
"Senate","Kentucky","19961105","N/A","DAVIESS","County","18,246","McConnell, A. Mitch","Incumbent","13,062","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","622","5,184","R",".00","58.28","41.72","","",""
"Senate","Kentucky","19961105","N/A","EDMONSON","County","2,980","McConnell, A. Mitch","Incumbent","1,120","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","41","1,860","R",".00","72.68","27.32","","",""
"Senate","Kentucky","19961105","N/A","ELLIOTT","County","572","McConnell, A. Mitch","Incumbent","1,277","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","36","705","D",".00","30.94","69.06","","",""
"Senate","Kentucky","19961105","N/A","ESTILL","County","2,405","McConnell, A. Mitch","Incumbent","1,790","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","77","615","R",".00","57.33","42.67","","",""
"Senate","Kentucky","19961105","N/A","FAYETTE","County","47,082","McConnell, A. Mitch","Incumbent","40,321","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","1,207","6,761","R",".00","53.87","46.13","","",""
"Senate","Kentucky","19961105","N/A","FLEMING","County","2,659","McConnell, A. Mitch","Incumbent","1,778","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","58","881","R",".00","59.93","40.07","","",""
"Senate","Kentucky","19961105","N/A","FLOYD","County","4,532","McConnell, A. Mitch","Incumbent","8,646","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","252","4,114","D",".00","34.39","65.61","","",""
"Senate","Kentucky","19961105","N/A","FRANKLIN","County","8,305","McConnell, A. Mitch","Incumbent","10,594","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","361","2,289","D",".00","43.94","56.06","","",""
"Senate","Kentucky","19961105","N/A","FULTON","County","1,195","McConnell, A. Mitch","Incumbent","1,262","Beshear, Steven L.","Challenger","N/A","N/A","N/A","N/A","23","67","D",".00","48.64","51.36","","",""
