"Office","State","RaceDate","CensusPop","Area","AreaType","RepVotes","RepCandidate","RepStatus","DemVotes","DemCandidate","DemStatus","ThirdParty","ThirdVotes","ThirdCandidate","ThirdStatus","OtherVotes","PluralityVotes","PluralityParty","ThirdVotesTotalPercent","RepVotesMajorPercent","DemVotesMajorPercent","RaceNotes","TitleNotes","OtherNotes"
"Senate","Kansas","20141104","N/A","ALLEN","County","2,531","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","1,564","Orman, Greg","Challenger","333","967","R","35.32","100.00",".00","The other vote was: Batson, Randall (Libertarian) 333","","The other vote was: Batson, Randall (Libertarian) 333"
"Senate","Kansas","20141104","N/A","ANDERSON","County","1,554","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","826","Orman, Greg","Challenger","157","728","R","32.56","100.00",".00","The other vote was: Batson, Randall (Libertarian) 157","","The other vote was: Batson, Randall (Libertarian) 157"
"Senate","Kansas","20141104","N/A","ATCHISON","County","2,490","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","1,953","Orman, Greg","Challenger","286","537","R","41.30","100.00",".00","The other vote was: Batson, Randall (Libertarian) 286","","The other vote was: Batson, Randall (Libertarian) 286"
"Senate","Kansas","20141104","N/A","BARBER","County","1,196","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","447","Orman, Greg","Challenger","63","749","R","26.20","100.00",".00","The other vote was: Batson, Randall (Libertarian) 63","","The other vote was: Batson, Randall (Libertarian) 63"
"Senate","Kansas","20141104","N/A","BARTON","County","5,403","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","2,313","Orman, Greg","Challenger","354","3,090","R","28.66","100.00",".00","The other vote was: Batson, Randall (Libertarian) 354","","The other vote was: Batson, Randall (Libertarian) 354"
"Senate","Kansas","20141104","N/A","BOURBON","County","3,190","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","1,456","Orman, Greg","Challenger","312","1,734","R","29.37","100.00",".00","The other vote was: Batson, Randall (Libertarian) 312","","The other vote was: Batson, Randall (Libertarian) 312"
"Senate","Kansas","20141104","N/A","BROWN","County","2,074","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","964","Orman, Greg","Challenger","150","1,110","R","30.24","100.00",".00","The other vote was: Batson, Randall (Libertarian) 150","","The other vote was: Batson, Randall (Libertarian) 150"
"Senate","Kansas","20141104","N/A","BUTLER","County","12,387","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","7,413","Orman, Greg","Challenger","937","4,974","R","35.75","100.00",".00","The other vote was: Batson, Randall (Libertarian) 937","","The other vote was: Batson, Randall (Libertarian) 937"
"Senate","Kansas","20141104","N/A","CHASE","County","649","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","377","Orman, Greg","Challenger","57","272","R","34.81","100.00",".00","The other vote was: Batson, Randall (Libertarian) 57","","The other vote was: Batson, Randall (Libertarian) 57"
"Senate","Kansas","20141104","N/A","CHAUTAUQUA","County","837","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","221","Orman, Greg","Challenger","49","616","R","19.96","100.00",".00","The other vote was: Batson, Randall (Libertarian) 49","","The other vote was: Batson, Randall (Libertarian) 49"
"Senate","Kansas","20141104","N/A","CHEROKEE","County","3,675","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","1,800","Orman, Greg","Challenger","459","1,875","R","30.33","100.00",".00","The other vote was: Batson, Randall (Libertarian) 459","","The other vote was: Batson, Randall (Libertarian) 459"
"Senate","Kansas","20141104","N/A","CHEYENNE","County","823","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","196","Orman, Greg","Challenger","30","627","R","18.68","100.00",".00","The other vote was: Batson, Randall (Libertarian) 30","","The other vote was: Batson, Randall (Libertarian) 30"
"Senate","Kansas","20141104","N/A","CLARK","County","607","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","177","Orman, Greg","Challenger","34","430","R","21.64","100.00",".00","The other vote was: Batson, Randall (Libertarian) 34","","The other vote was: Batson, Randall (Libertarian) 34"
"Senate","Kansas","20141104","N/A","CLAY","County","2,156","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","869","Orman, Greg","Challenger","131","1,287","R","27.53","100.00",".00","The other vote was: Batson, Randall (Libertarian) 131","","The other vote was: Batson, Randall (Libertarian) 131"
"Senate","Kansas","20141104","N/A","CLOUD","County","2,123","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","906","Orman, Greg","Challenger","168","1,217","R","28.34","100.00",".00","The other vote was: Batson, Randall (Libertarian) 168","","The other vote was: Batson, Randall (Libertarian) 168"
"Senate","Kansas","20141104","N/A","COFFEY","County","2,025","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","951","Orman, Greg","Challenger","168","1,074","R","30.25","100.00",".00","The other vote was: Batson, Randall (Libertarian) 168","","The other vote was: Batson, Randall (Libertarian) 168"
"Senate","Kansas","20141104","N/A","COMANCHE","County","496","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","163","Orman, Greg","Challenger","37","333","R","23.42","100.00",".00","The other vote was: Batson, Randall (Libertarian) 37","","The other vote was: Batson, Randall (Libertarian) 37"
"Senate","Kansas","20141104","N/A","COWLEY","County","5,292","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","3,947","Orman, Greg","Challenger","575","1,345","R","40.22","100.00",".00","The other vote was: Batson, Randall (Libertarian) 575","","The other vote was: Batson, Randall (Libertarian) 575"
"Senate","Kansas","20141104","N/A","CRAWFORD","County","5,136","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","4,539","Orman, Greg","Challenger","790","597","R","43.37","100.00",".00","The other vote was: Batson, Randall (Libertarian) 790","","The other vote was: Batson, Randall (Libertarian) 790"
"Senate","Kansas","20141104","N/A","DECATUR","County","943","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","231","Orman, Greg","Challenger","48","712","R","18.90","100.00",".00","The other vote was: Batson, Randall (Libertarian) 48","","The other vote was: Batson, Randall (Libertarian) 48"
"Senate","Kansas","20141104","N/A","DICKINSON","County","4,160","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","1,951","Orman, Greg","Challenger","340","2,209","R","30.24","100.00",".00","The other vote was: Batson, Randall (Libertarian) 340","","The other vote was: Batson, Randall (Libertarian) 340"
"Senate","Kansas","20141104","N/A","DONIPHAN","County","1,555","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","552","Orman, Greg","Challenger","136","1,003","R","24.61","100.00",".00","The other vote was: Batson, Randall (Libertarian) 136","","The other vote was: Batson, Randall (Libertarian) 136"
"Senate","Kansas","20141104","N/A","DOUGLAS","County","11,116","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","25,315","Orman, Greg","Challenger","1,327","14,199","I","67.05","100.00",".00","The other vote was: Batson, Randall (Libertarian) 1,327","","The other vote was: Batson, Randall (Libertarian) 1,327"
"Senate","Kansas","20141104","N/A","EDWARDS","County","806","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","294","Orman, Greg","Challenger","47","512","R","25.63","100.00",".00","The other vote was: Batson, Randall (Libertarian) 47","","The other vote was: Batson, Randall (Libertarian) 47"
"Senate","Kansas","20141104","N/A","ELK","County","680","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","318","Orman, Greg","Challenger","86","362","R","29.34","100.00",".00","The other vote was: Batson, Randall (Libertarian) 86","","The other vote was: Batson, Randall (Libertarian) 86"
"Senate","Kansas","20141104","N/A","ELLIS","County","5,730","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","3,368","Orman, Greg","Challenger","415","2,362","R","35.40","100.00",".00","The other vote was: Batson, Randall (Libertarian) 415","","The other vote was: Batson, Randall (Libertarian) 415"
"Senate","Kansas","20141104","N/A","ELLSWORTH","County","1,410","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","750","Orman, Greg","Challenger","113","660","R","33.00","100.00",".00","The other vote was: Batson, Randall (Libertarian) 113","","The other vote was: Batson, Randall (Libertarian) 113"
"Senate","Kansas","20141104","N/A","FINNEY","County","4,446","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","2,028","Orman, Greg","Challenger","302","2,418","R","29.93","100.00",".00","The other vote was: Batson, Randall (Libertarian) 302","","The other vote was: Batson, Randall (Libertarian) 302"
"Senate","Kansas","20141104","N/A","FORD","County","4,126","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","1,814","Orman, Greg","Challenger","239","2,312","R","29.36","100.00",".00","The other vote was: Batson, Randall (Libertarian) 239","","The other vote was: Batson, Randall (Libertarian) 239"
"Senate","Kansas","20141104","N/A","FRANKLIN","County","4,374","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","3,024","Orman, Greg","Challenger","462","1,350","R","38.47","100.00",".00","The other vote was: Batson, Randall (Libertarian) 462","","The other vote was: Batson, Randall (Libertarian) 462"
"Senate","Kansas","20141104","N/A","GEARY","County","2,779","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","1,974","Orman, Greg","Challenger","230","805","R","39.61","100.00",".00","The other vote was: Batson, Randall (Libertarian) 230","","The other vote was: Batson, Randall (Libertarian) 230"
"Senate","Kansas","20141104","N/A","GOVE","County","857","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","228","Orman, Greg","Challenger","45","629","R","20.18","100.00",".00","The other vote was: Batson, Randall (Libertarian) 45","","The other vote was: Batson, Randall (Libertarian) 45"
"Senate","Kansas","20141104","N/A","GRAHAM","County","799","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","298","Orman, Greg","Challenger","46","501","R","26.07","100.00",".00","The other vote was: Batson, Randall (Libertarian) 46","","The other vote was: Batson, Randall (Libertarian) 46"
"Senate","Kansas","20141104","N/A","GRANT","County","1,275","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","413","Orman, Greg","Challenger","84","862","R","23.31","100.00",".00","The other vote was: Batson, Randall (Libertarian) 84","","The other vote was: Batson, Randall (Libertarian) 84"
"Senate","Kansas","20141104","N/A","GRAY","County","1,210","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","360","Orman, Greg","Challenger","69","850","R","21.96","100.00",".00","The other vote was: Batson, Randall (Libertarian) 69","","The other vote was: Batson, Randall (Libertarian) 69"
"Senate","Kansas","20141104","N/A","GREELEY","County","426","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","113","Orman, Greg","Challenger","27","313","R","19.96","100.00",".00","The other vote was: Batson, Randall (Libertarian) 27","","The other vote was: Batson, Randall (Libertarian) 27"
"Senate","Kansas","20141104","N/A","GREENWOOD","County","1,432","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","644","Orman, Greg","Challenger","157","788","R","28.84","100.00",".00","The other vote was: Batson, Randall (Libertarian) 157","","The other vote was: Batson, Randall (Libertarian) 157"
"Senate","Kansas","20141104","N/A","HAMILTON","County","546","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","150","Orman, Greg","Challenger","21","396","R","20.92","100.00",".00","The other vote was: Batson, Randall (Libertarian) 21","","The other vote was: Batson, Randall (Libertarian) 21"
"Senate","Kansas","20141104","N/A","HARPER","County","1,352","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","538","Orman, Greg","Challenger","121","814","R","26.75","100.00",".00","The other vote was: Batson, Randall (Libertarian) 121","","The other vote was: Batson, Randall (Libertarian) 121"
"Senate","Kansas","20141104","N/A","HARVEY","County","6,169","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","5,051","Orman, Greg","Challenger","424","1,118","R","43.38","100.00",".00","The other vote was: Batson, Randall (Libertarian) 424","","The other vote was: Batson, Randall (Libertarian) 424"
"Senate","Kansas","20141104","N/A","HASKELL","County","829","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","187","Orman, Greg","Challenger","35","642","R","17.79","100.00",".00","The other vote was: Batson, Randall (Libertarian) 35","","The other vote was: Batson, Randall (Libertarian) 35"
"Senate","Kansas","20141104","N/A","HODGEMAN","County","581","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","169","Orman, Greg","Challenger","20","412","R","21.95","100.00",".00","The other vote was: Batson, Randall (Libertarian) 20","","The other vote was: Batson, Randall (Libertarian) 20"
"Senate","Kansas","20141104","N/A","JACKSON","County","2,553","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","2,014","Orman, Greg","Challenger","234","539","R","41.95","100.00",".00","The other vote was: Batson, Randall (Libertarian) 234","","The other vote was: Batson, Randall (Libertarian) 234"
"Senate","Kansas","20141104","N/A","JEFFERSON","County","3,421","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","2,878","Orman, Greg","Challenger","267","543","R","43.83","100.00",".00","The other vote was: Batson, Randall (Libertarian) 267","","The other vote was: Batson, Randall (Libertarian) 267"
"Senate","Kansas","20141104","N/A","JEWELL","County","850","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","216","Orman, Greg","Challenger","54","634","R","19.29","100.00",".00","The other vote was: Batson, Randall (Libertarian) 54","","The other vote was: Batson, Randall (Libertarian) 54"
"Senate","Kansas","20141104","N/A","JOHNSON","County","94,843","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","92,849","Orman, Greg","Challenger","4,985","1,994","R","48.19","100.00",".00","The other vote was: Batson, Randall (Libertarian) 4,985","","The other vote was: Batson, Randall (Libertarian) 4,985"
"Senate","Kansas","20141104","N/A","KEARNY","County","763","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","214","Orman, Greg","Challenger","30","549","R","21.25","100.00",".00","The other vote was: Batson, Randall (Libertarian) 30","","The other vote was: Batson, Randall (Libertarian) 30"
"Senate","Kansas","20141104","N/A","KINGMAN","County","1,858","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","875","Orman, Greg","Challenger","129","983","R","30.57","100.00",".00","The other vote was: Batson, Randall (Libertarian) 129","","The other vote was: Batson, Randall (Libertarian) 129"
"Senate","Kansas","20141104","N/A","KIOWA","County","687","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","185","Orman, Greg","Challenger","26","502","R","20.60","100.00",".00","The other vote was: Batson, Randall (Libertarian) 26","","The other vote was: Batson, Randall (Libertarian) 26"
"Senate","Kansas","20141104","N/A","LABETTE","County","3,214","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","2,086","Orman, Greg","Challenger","372","1,128","R","36.78","100.00",".00","The other vote was: Batson, Randall (Libertarian) 372","","The other vote was: Batson, Randall (Libertarian) 372"
"Senate","Kansas","20141104","N/A","LANE","County","580","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","159","Orman, Greg","Challenger","25","421","R","20.81","100.00",".00","The other vote was: Batson, Randall (Libertarian) 25","","The other vote was: Batson, Randall (Libertarian) 25"
"Senate","Kansas","20141104","N/A","LEAVENWORTH","County","10,411","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","8,561","Orman, Greg","Challenger","900","1,850","R","43.08","100.00",".00","The other vote was: Batson, Randall (Libertarian) 900","","The other vote was: Batson, Randall (Libertarian) 900"
"Senate","Kansas","20141104","N/A","LINCOLN","County","925","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","299","Orman, Greg","Challenger","52","626","R","23.43","100.00",".00","The other vote was: Batson, Randall (Libertarian) 52","","The other vote was: Batson, Randall (Libertarian) 52"
"Senate","Kansas","20141104","N/A","LINN","County","2,032","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","973","Orman, Greg","Challenger","188","1,059","R","30.47","100.00",".00","The other vote was: Batson, Randall (Libertarian) 188","","The other vote was: Batson, Randall (Libertarian) 188"
"Senate","Kansas","20141104","N/A","LOGAN","County","798","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","202","Orman, Greg","Challenger","49","596","R","19.26","100.00",".00","The other vote was: Batson, Randall (Libertarian) 49","","The other vote was: Batson, Randall (Libertarian) 49"
"Senate","Kansas","20141104","N/A","LYON","County","4,261","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","4,254","Orman, Greg","Challenger","402","7","R","47.71","100.00",".00","The other vote was: Batson, Randall (Libertarian) 402","","The other vote was: Batson, Randall (Libertarian) 402"
"Senate","Kansas","20141104","N/A","MARION","County","2,847","Roberts, Pat","Incumbent","N/A","N/A","N/A","Independent","1,363","Orman, Greg","Challenger","219","1,484","R","30.77","100.00",".00","The other vote was: Batson, Randall (Libertarian) 219","","The other vote was: Batson, Randall (Libertarian) 219"
