"Office","State","RaceDate","CensusPop","Area","AreaType","RepVotes","RepCandidate","RepStatus","DemVotes","DemCandidate","DemStatus","ThirdParty","ThirdVotes","ThirdCandidate","ThirdStatus","OtherVotes","PluralityVotes","PluralityParty","ThirdVotesTotalPercent","RepVotesMajorPercent","DemVotesMajorPercent","RaceNotes","TitleNotes","OtherNotes"
"Senate","Michigan","20121106","N/A","ALCONA","County","2,812","Hoekstra, Peter","Challenger","3,047","Stabenow, Debbie","Incumbent","Libertarian","88","Boman, Scotty","Challenger","88","235","D","1.46","47.99","52.01","The other vote was: Mikkelson, Harley G. (Green) 32; Matkin, Richard (U.S. Taxpayers) 38; Litle, John (Natural Law) 18","","The other vote was: Mikkelson, Harley G. (Green) 32; Matkin, Richard (U.S. Taxpayers) 38; Litle, John (Natural Law) 18"
"Senate","Michigan","20121106","N/A","ALGER","County","1,809","Hoekstra, Peter","Challenger","2,575","Stabenow, Debbie","Incumbent","Libertarian","88","Boman, Scotty","Challenger","77","766","D","1.93","41.26","58.74","The other vote was: Mikkelson, Harley G. (Green) 32; Matkin, Richard (U.S. Taxpayers) 27; Litle, John (Natural Law) 18","","The other vote was: Mikkelson, Harley G. (Green) 32; Matkin, Richard (U.S. Taxpayers) 27; Litle, John (Natural Law) 18"
"Senate","Michigan","20121106","N/A","ALLEGAN","County","28,350","Hoekstra, Peter","Challenger","21,842","Stabenow, Debbie","Incumbent","Libertarian","982","Boman, Scotty","Challenger","931","6,508","R","1.88","56.48","43.52","The other vote was: Mikkelson, Harley G. (Green) 313; Matkin, Richard (U.S. Taxpayers) 453; Litle, John (Natural Law) 165","","The other vote was: Mikkelson, Harley G. (Green) 313; Matkin, Richard (U.S. Taxpayers) 453; Litle, John (Natural Law) 165"
"Senate","Michigan","20121106","N/A","ALPENA","County","5,561","Hoekstra, Peter","Challenger","7,910","Stabenow, Debbie","Incumbent","Libertarian","237","Boman, Scotty","Challenger","197","2,349","D","1.70","41.28","58.72","The other vote was: Mikkelson, Harley G. (Green) 83; Matkin, Richard (U.S. Taxpayers) 82; Litle, John (Natural Law) 32","","The other vote was: Mikkelson, Harley G. (Green) 83; Matkin, Richard (U.S. Taxpayers) 82; Litle, John (Natural Law) 32"
"Senate","Michigan","20121106","N/A","ANTRIM","County","6,834","Hoekstra, Peter","Challenger","5,785","Stabenow, Debbie","Incumbent","Libertarian","225","Boman, Scotty","Challenger","224","1,049","R","1.72","54.16","45.84","The other vote was: Mikkelson, Harley G. (Green) 102; Matkin, Richard (U.S. Taxpayers) 90; Litle, John (Natural Law) 32","","The other vote was: Mikkelson, Harley G. (Green) 102; Matkin, Richard (U.S. Taxpayers) 90; Litle, John (Natural Law) 32"
"Senate","Michigan","20121106","N/A","ARENAC","County","2,940","Hoekstra, Peter","Challenger","4,411","Stabenow, Debbie","Incumbent","Libertarian","164","Boman, Scotty","Challenger","147","1,471","D","2.14","39.99","60.01","The other vote was: Mikkelson, Harley G. (Green) 41; Matkin, Richard (U.S. Taxpayers) 66; Litle, John (Natural Law) 40","","The other vote was: Mikkelson, Harley G. (Green) 41; Matkin, Richard (U.S. Taxpayers) 66; Litle, John (Natural Law) 40"
"Senate","Michigan","20121106","N/A","BARAGA","County","1,392","Hoekstra, Peter","Challenger","1,929","Stabenow, Debbie","Incumbent","Libertarian","53","Boman, Scotty","Challenger","55","537","D","1.55","41.92","58.08","The other vote was: Mikkelson, Harley G. (Green) 22; Matkin, Richard (U.S. Taxpayers) 27; Litle, John (Natural Law) 6","","The other vote was: Mikkelson, Harley G. (Green) 22; Matkin, Richard (U.S. Taxpayers) 27; Litle, John (Natural Law) 6"
"Senate","Michigan","20121106","N/A","BARRY","County","14,581","Hoekstra, Peter","Challenger","12,614","Stabenow, Debbie","Incumbent","Libertarian","545","Boman, Scotty","Challenger","499","1,967","R","1.93","53.62","46.38","The other vote was: Mikkelson, Harley G. (Green) 181; Matkin, Richard (U.S. Taxpayers) 238; Litle, John (Natural Law) 80","","The other vote was: Mikkelson, Harley G. (Green) 181; Matkin, Richard (U.S. Taxpayers) 238; Litle, John (Natural Law) 80"
"Senate","Michigan","20121106","N/A","BAY","County","18,940","Hoekstra, Peter","Challenger","31,840","Stabenow, Debbie","Incumbent","Libertarian","999","Boman, Scotty","Challenger","758","12,900","D","1.90","37.30","62.70","The other vote was: Mikkelson, Harley G. (Green) 275; Matkin, Richard (U.S. Taxpayers) 342; Litle, John (Natural Law) 141","","The other vote was: Mikkelson, Harley G. (Green) 275; Matkin, Richard (U.S. Taxpayers) 342; Litle, John (Natural Law) 141"
"Senate","Michigan","20121106","N/A","BENZIE","County","4,331","Hoekstra, Peter","Challenger","5,096","Stabenow, Debbie","Incumbent","Libertarian","155","Boman, Scotty","Challenger","154","765","D","1.59","45.94","54.06","The other vote was: Mikkelson, Harley G. (Green) 66; Matkin, Richard (U.S. Taxpayers) 59; Litle, John (Natural Law) 29","","The other vote was: Mikkelson, Harley G. (Green) 66; Matkin, Richard (U.S. Taxpayers) 59; Litle, John (Natural Law) 29"
