"Office","State","RaceDate","CensusPop","Area","AreaType","RepVotes","RepCandidate","RepStatus","DemVotes","DemCandidate","DemStatus","ThirdParty","ThirdVotes","ThirdCandidate","ThirdStatus","OtherVotes","PluralityVotes","PluralityParty","ThirdVotesTotalPercent","RepVotesMajorPercent","DemVotesMajorPercent","RaceNotes","TitleNotes","OtherNotes"
"Governor","Kentucky","1999","N/A","ADAIR","County","663","Martin, Peppy","Challenger","1,441","Patton, Paul E.","Incumbent","Reform","194","Galbraith, NULL","Challenger","3","778","D","8.43","31.51","68.49","","",""
"Governor","Kentucky","1999","N/A","ALLEN","County","339","Martin, Peppy","Challenger","741","Patton, Paul E.","Incumbent","Reform","97","Galbraith, NULL","Challenger","5","402","D","8.21","31.39","68.61","","",""
"Governor","Kentucky","1999","N/A","ANDERSON","County","496","Martin, Peppy","Challenger","1,961","Patton, Paul E.","Incumbent","Reform","826","Galbraith, NULL","Challenger","39","1,135","D","24.86","20.19","79.81","","",""
"Governor","Kentucky","1999","N/A","BALLARD","County","99","Martin, Peppy","Challenger","1,230","Patton, Paul E.","Incumbent","Reform","138","Galbraith, NULL","Challenger","13","1,092","D","9.32","7.45","92.55","","",""
"Governor","Kentucky","1999","N/A","BARREN","County","598","Martin, Peppy","Challenger","2,616","Patton, Paul E.","Incumbent","Reform","204","Galbraith, NULL","Challenger","36","2,018","D","5.91","18.61","81.39","","",""
"Governor","Kentucky","1999","N/A","BATH","County","197","Martin, Peppy","Challenger","682","Patton, Paul E.","Incumbent","Reform","356","Galbraith, NULL","Challenger","9","326","D","28.62","22.41","77.59","","",""
"Governor","Kentucky","1999","N/A","BELL","County","2,059","Martin, Peppy","Challenger","2,208","Patton, Paul E.","Incumbent","Reform","540","Galbraith, NULL","Challenger","65","149","D","11.08","48.25","51.75","","",""
"Governor","Kentucky","1999","N/A","BOONE","County","2,495","Martin, Peppy","Challenger","5,149","Patton, Paul E.","Incumbent","Reform","813","Galbraith, NULL","Challenger","90","2,654","D","9.51","32.64","67.36","","",""
"Governor","Kentucky","1999","N/A","BOURBON","County","370","Martin, Peppy","Challenger","1,311","Patton, Paul E.","Incumbent","Reform","866","Galbraith, NULL","Challenger","34","445","D","33.55","22.01","77.99","","",""
"Governor","Kentucky","1999","N/A","BOYD","County","1,287","Martin, Peppy","Challenger","4,665","Patton, Paul E.","Incumbent","Reform","798","Galbraith, NULL","Challenger","189","3,378","D","11.50","21.62","78.38","","",""
"Governor","Kentucky","1999","N/A","BOYLE","County","693","Martin, Peppy","Challenger","3,334","Patton, Paul E.","Incumbent","Reform","937","Galbraith, NULL","Challenger","64","2,397","D","18.64","17.21","82.79","","",""
