"Office","State","RaceDate","CensusPop","Area","AreaType","RepVotes","RepCandidate","RepStatus","DemVotes","DemCandidate","DemStatus","ThirdParty","ThirdVotes","ThirdCandidate","ThirdStatus","OtherVotes","PluralityVotes","PluralityParty","ThirdVotesTotalPercent","RepVotesMajorPercent","DemVotesMajorPercent","RaceNotes","TitleNotes","OtherNotes"
"Governor","West Virginia","20121106","N/A","BARBOUR","County","2,789","Maloney, Bill","Challenger","2,757","Tomblin, Earl Ray","Incumbent","Mountain","101","Johnson, Jesse","Challenger","99","32","R","1.76","50.29","49.71","The other vote was: Moran, David (Libertarian) 99","","The other vote was: Moran, David (Libertarian) 99"
"Governor","West Virginia","20121106","N/A","BERKELEY","County","17,999","Maloney, Bill","Challenger","17,195","Tomblin, Earl Ray","Incumbent","Mountain","635","Johnson, Jesse","Challenger","658","804","R","1.74","51.14","48.86","The other vote was: Moran, David (Libertarian) 658","","The other vote was: Moran, David (Libertarian) 658"
"Governor","West Virginia","20121106","N/A","BOONE","County","2,624","Maloney, Bill","Challenger","5,800","Tomblin, Earl Ray","Incumbent","Mountain","180","Johnson, Jesse","Challenger","54","3,176","D","2.08","31.15","68.85","The other vote was: Moran, David (Libertarian) 54","","The other vote was: Moran, David (Libertarian) 54"
"Governor","West Virginia","20121106","N/A","BRAXTON","County","1,784","Maloney, Bill","Challenger","2,796","Tomblin, Earl Ray","Incumbent","Mountain","115","Johnson, Jesse","Challenger","36","1,012","D","2.43","38.95","61.05","The other vote was: Moran, David (Libertarian) 36","","The other vote was: Moran, David (Libertarian) 36"
"Governor","West Virginia","20121106","N/A","BROOKE","County","3,797","Maloney, Bill","Challenger","5,067","Tomblin, Earl Ray","Incumbent","Mountain","133","Johnson, Jesse","Challenger","135","1,270","D","1.46","42.84","57.16","The other vote was: Moran, David (Libertarian) 135","","The other vote was: Moran, David (Libertarian) 135"
"Governor","West Virginia","20121106","N/A","CABELL","County","13,357","Maloney, Bill","Challenger","17,447","Tomblin, Earl Ray","Incumbent","Mountain","801","Johnson, Jesse","Challenger","396","4,090","D","2.50","43.36","56.64","The other vote was: Moran, David (Libertarian) 396","","The other vote was: Moran, David (Libertarian) 396"
"Governor","West Virginia","20121106","N/A","CALHOUN","County","986","Maloney, Bill","Challenger","1,051","Tomblin, Earl Ray","Incumbent","Mountain","96","Johnson, Jesse","Challenger","34","65","D","4.43","48.40","51.60","The other vote was: Moran, David (Libertarian) 34","","The other vote was: Moran, David (Libertarian) 34"
"Governor","West Virginia","20121106","N/A","CLAY","County","1,278","Maloney, Bill","Challenger","1,605","Tomblin, Earl Ray","Incumbent","Mountain","126","Johnson, Jesse","Challenger","20","327","D","4.16","44.33","55.67","The other vote was: Moran, David (Libertarian) 20","","The other vote was: Moran, David (Libertarian) 20"
"Governor","West Virginia","20121106","N/A","DODDRIDGE","County","1,721","Maloney, Bill","Challenger","872","Tomblin, Earl Ray","Incumbent","Mountain","94","Johnson, Jesse","Challenger","38","849","R","3.45","66.37","33.63","The other vote was: Moran, David (Libertarian) 38","","The other vote was: Moran, David (Libertarian) 38"
"Governor","West Virginia","20121106","N/A","FAYETTE","County","5,932","Maloney, Bill","Challenger","7,353","Tomblin, Earl Ray","Incumbent","Mountain","505","Johnson, Jesse","Challenger","170","1,421","D","3.62","44.65","55.35","The other vote was: Moran, David (Libertarian) 170","","The other vote was: Moran, David (Libertarian) 170"
