"Office","State","RaceDate","CensusPop","Area","AreaType","RepVotes","RepCandidate","RepStatus","DemVotes","DemCandidate","DemStatus","ThirdParty","ThirdVotes","ThirdCandidate","ThirdStatus","OtherVotes","PluralityVotes","PluralityParty","ThirdVotesTotalPercent","RepVotesMajorPercent","DemVotesMajorPercent","RaceNotes","TitleNotes","OtherNotes"
"Governor","Kentucky","19951107","N/A","ADAIR","County","2,951","Forgy, Larry","Challenger","1,528","Patton, Paul E.","Challenger","N/A","N/A","N/A","N/A","3","1,423","R",".00","65.89","34.11","","",""
"Governor","Kentucky","19951107","N/A","ALLEN","County","1,829","Forgy, Larry","Challenger","1,327","Patton, Paul E.","Challenger","N/A","N/A","N/A","N/A","N/A","502","R",".00","57.95","42.05","","",""
"Governor","Kentucky","19951107","N/A","ANDERSON","County","2,783","Forgy, Larry","Challenger","2,591","Patton, Paul E.","Challenger","N/A","N/A","N/A","N/A","43","192","R",".00","51.79","48.21","","",""
"Governor","Kentucky","19951107","N/A","BALLARD","County","938","Forgy, Larry","Challenger","1,959","Patton, Paul E.","Challenger","N/A","N/A","N/A","N/A","7","1,021","D",".00","32.38","67.62","","",""
"Governor","Kentucky","19951107","N/A","BARREN","County","3,882","Forgy, Larry","Challenger","4,672","Patton, Paul E.","Challenger","N/A","N/A","N/A","N/A","N/A","790","D",".00","45.38","54.62","","",""
"Governor","Kentucky","19951107","N/A","BATH","County","1,309","Forgy, Larry","Challenger","1,844","Patton, Paul E.","Challenger","N/A","N/A","N/A","N/A","8","535","D",".00","41.52","58.48","","",""
"Governor","Kentucky","19951107","N/A","BELL","County","3,140","Forgy, Larry","Challenger","3,196","Patton, Paul E.","Challenger","N/A","N/A","N/A","N/A","2","56","D",".00","49.56","50.44","","",""
"Governor","Kentucky","19951107","N/A","BOONE","County","9,990","Forgy, Larry","Challenger","4,835","Patton, Paul E.","Challenger","N/A","N/A","N/A","N/A","14","5,155","R",".00","67.39","32.61","","",""
"Governor","Kentucky","19951107","N/A","BOURBON","County","2,087","Forgy, Larry","Challenger","2,347","Patton, Paul E.","Challenger","N/A","N/A","N/A","N/A","69","260","D",".00","47.07","52.93","","",""
"Governor","Kentucky","19951107","N/A","BOYD","County","5,012","Forgy, Larry","Challenger","7,863","Patton, Paul E.","Challenger","N/A","N/A","N/A","N/A","6","2,851","D",".00","38.93","61.07","","",""
