"Office","State","RaceDate","CensusPop","Area","AreaType","RepVotes","RepCandidate","RepStatus","DemVotes","DemCandidate","DemStatus","ThirdParty","ThirdVotes","ThirdCandidate","ThirdStatus","OtherVotes","PluralityVotes","PluralityParty","ThirdVotesTotalPercent","RepVotesMajorPercent","DemVotesMajorPercent","RaceNotes","TitleNotes","OtherNotes"
"Governor","New Jersey","2001","N/A","ATLANTIC","County","27,547","Schundler, Bret","Challenger","38,623","McGreevey, James","Challenger","N/A","N/A","N/A","N/A","995","11,076","D",".00","41.63","58.37","","",""
"Governor","New Jersey","2001","N/A","BERGEN","County","111,221","Schundler, Bret","Challenger","140,215","McGreevey, James","Challenger","N/A","N/A","N/A","N/A","3,106","28,994","D",".00","44.23","55.77","","",""
"Governor","New Jersey","2001","N/A","BURLINGTON","County","48,098","Schundler, Bret","Challenger","62,697","McGreevey, James","Challenger","N/A","N/A","N/A","N/A","2,437","14,599","D",".00","43.41","56.59","","",""
"Governor","New Jersey","2001","N/A","CAMDEN","County","40,063","Schundler, Bret","Challenger","78,169","McGreevey, James","Challenger","N/A","N/A","N/A","N/A","2,728","38,106","D",".00","33.89","66.11","","",""
"Governor","New Jersey","2001","N/A","CAPE MAY","County","17,471","Schundler, Bret","Challenger","17,118","McGreevey, James","Challenger","N/A","N/A","N/A","N/A","735","353","R",".00","50.51","49.49","","",""
"Governor","New Jersey","2001","N/A","CUMBERLAND","County","13,583","Schundler, Bret","Challenger","19,445","McGreevey, James","Challenger","N/A","N/A","N/A","N/A","668","5,862","D",".00","41.13","58.87","","",""
"Governor","New Jersey","2001","N/A","ESSEX","County","48,540","Schundler, Bret","Challenger","129,406","McGreevey, James","Challenger","N/A","N/A","N/A","N/A","2,083","80,866","D",".00","27.28","72.72","","",""
"Governor","New Jersey","2001","N/A","GLOUCESTER","County","28,210","Schundler, Bret","Challenger","41,083","McGreevey, James","Challenger","N/A","N/A","N/A","N/A","1,392","12,873","D",".00","40.71","59.29","","",""
"Governor","New Jersey","2001","N/A","HUDSON","County","37,440","Schundler, Bret","Challenger","85,074","McGreevey, James","Challenger","N/A","N/A","N/A","N/A","1,224","47,634","D",".00","30.56","69.44","","",""
"Governor","New Jersey","2001","N/A","HUNTERDON","County","23,059","Schundler, Bret","Challenger","13,911","McGreevey, James","Challenger","N/A","N/A","N/A","N/A","2,484","9,148","R",".00","62.37","37.63","","",""
"Governor","New Jersey","2001","N/A","MERCER","County","31,705","Schundler, Bret","Challenger","57,513","McGreevey, James","Challenger","N/A","N/A","N/A","N/A","5,148","25,808","D",".00","35.54","64.46","","",""
"Governor","New Jersey","2001","N/A","MIDDLESEX","County","66,749","Schundler, Bret","Challenger","117,061","McGreevey, James","Challenger","N/A","N/A","N/A","N/A","2,999","50,312","D",".00","36.31","63.69","","",""
"Governor","New Jersey","2001","N/A","MONMOUTH","County","89,987","Schundler, Bret","Challenger","91,838","McGreevey, James","Challenger","N/A","N/A","N/A","N/A","3,647","1,851","D",".00","49.49","50.51","","",""
"Governor","New Jersey","2001","N/A","MORRIS","County","79,350","Schundler, Bret","Challenger","60,948","McGreevey, James","Challenger","N/A","N/A","N/A","N/A","1,942","18,402","R",".00","56.56","43.44","","",""
"Governor","New Jersey","2001","N/A","OCEAN","County","77,726","Schundler, Bret","Challenger","84,538","McGreevey, James","Challenger","N/A","N/A","N/A","N/A","2,690","6,812","D",".00","47.90","52.10","","",""
"Governor","New Jersey","2001","N/A","PASSAIC","County","43,806","Schundler, Bret","Challenger","62,390","McGreevey, James","Challenger","N/A","N/A","N/A","N/A","1,238","18,584","D",".00","41.25","58.75","","",""
"Governor","New Jersey","2001","N/A","SALEM","County","8,878","Schundler, Bret","Challenger","10,837","McGreevey, James","Challenger","N/A","N/A","N/A","N/A","540","1,959","D",".00","45.03","54.97","","",""
"Governor","New Jersey","2001","N/A","SOMERSET","County","44,815","Schundler, Bret","Challenger","39,110","McGreevey, James","Challenger","N/A","N/A","N/A","N/A","1,903","5,705","R",".00","53.40","46.60","","",""
"Governor","New Jersey","2001","N/A","SUSSEX","County","23,478","Schundler, Bret","Challenger","14,641","McGreevey, James","Challenger","N/A","N/A","N/A","N/A","957","8,837","R",".00","61.59","38.41","","",""
"Governor","New Jersey","2001","N/A","UNION","County","50,780","Schundler, Bret","Challenger","79,682","McGreevey, James","Challenger","N/A","N/A","N/A","N/A","1,790","28,902","D",".00","38.92","61.08","","",""
"Governor","New Jersey","2001","N/A","WARREN","County","15,668","Schundler, Bret","Challenger","12,554","McGreevey, James","Challenger","N/A","N/A","N/A","N/A","1,432","3,114","R",".00","55.52","44.48","","",""
"Governor","Virginia","2001","N/A","ACCOMACK","County","3,575","Earley, Mark","Challenger","3,710","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","89","135","D",".00","49.07","50.93","","",""
"Governor","Virginia","2001","N/A","ALBEMARLE","County","11,143","Earley, Mark","Challenger","14,891","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","394","3,748","D",".00","42.80","57.20","","",""
"Governor","Virginia","2001","N/A","ALLEGHANY","County","2,044","Earley, Mark","Challenger","3,018","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","56","974","D",".00","40.38","59.62","","",""
"Governor","Virginia","2001","N/A","AMELIA","County","1,880","Earley, Mark","Challenger","1,665","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","20","215","R",".00","53.03","46.97","","",""
"Governor","Virginia","2001","N/A","AMHERST","County","4,031","Earley, Mark","Challenger","4,198","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","37","167","D",".00","48.99","51.01","","",""
"Governor","Virginia","2001","N/A","APPOMATTOX","County","2,090","Earley, Mark","Challenger","2,268","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","62","178","D",".00","47.96","52.04","","",""
"Governor","Virginia","2001","N/A","ARLINGTON","County","16,214","Earley, Mark","Challenger","35,990","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","515","19,776","D",".00","31.06","68.94","","",""
"Governor","Virginia","2001","N/A","AUGUSTA","County","11,133","Earley, Mark","Challenger","6,673","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","168","4,460","R",".00","62.52","37.48","","",""
"Governor","Virginia","2001","N/A","BATH","County","721","Earley, Mark","Challenger","804","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","28","83","D",".00","47.28","52.72","","",""
"Governor","Virginia","2001","N/A","BEDFORD","County","11,298","Earley, Mark","Challenger","8,035","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","214","3,263","R",".00","58.44","41.56","","",""
"Governor","Virginia","2001","N/A","BLAND","County","888","Earley, Mark","Challenger","835","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","11","53","R",".00","51.54","48.46","","",""
"Governor","Virginia","2001","N/A","BOTETOURT","County","5,872","Earley, Mark","Challenger","4,629","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","101","1,243","R",".00","55.92","44.08","","",""
"Governor","Virginia","2001","N/A","BRUNSWICK","County","1,491","Earley, Mark","Challenger","2,840","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","19","1,349","D",".00","34.43","65.57","","",""
"Governor","Virginia","2001","N/A","BUCHANAN","County","1,921","Earley, Mark","Challenger","3,746","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","39","1,825","D",".00","33.90","66.10","","",""
"Governor","Virginia","2001","N/A","BUCKINGHAM","County","1,601","Earley, Mark","Challenger","2,364","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","32","763","D",".00","40.38","59.62","","",""
"Governor","Virginia","2001","N/A","CAMPBELL","County","8,366","Earley, Mark","Challenger","7,187","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","190","1,179","R",".00","53.79","46.21","","",""
"Governor","Virginia","2001","N/A","CAROLINE","County","2,274","Earley, Mark","Challenger","3,590","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","38","1,316","D",".00","38.78","61.22","","",""
"Governor","Virginia","2001","N/A","CARROLL","County","4,481","Earley, Mark","Challenger","3,309","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","40","1,172","R",".00","57.52","42.48","","",""
"Governor","Virginia","2001","N/A","CHARLES CITY","County","631","Earley, Mark","Challenger","1,747","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","13","1,116","D",".00","26.53","73.47","","",""
"Governor","Virginia","2001","N/A","CHARLOTTE","County","2,012","Earley, Mark","Challenger","2,202","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","73","190","D",".00","47.75","52.25","","",""
"Governor","Virginia","2001","N/A","CHESTERFIELD","County","46,160","Earley, Mark","Challenger","33,810","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","628","12,350","R",".00","57.72","42.28","","",""
"Governor","Virginia","2001","N/A","CLARKE","County","1,851","Earley, Mark","Challenger","1,839","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","37","12","R",".00","50.16","49.84","","",""
"Governor","Virginia","2001","N/A","CRAIG","County","887","Earley, Mark","Challenger","918","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","20","31","D",".00","49.14","50.86","","",""
"Governor","Virginia","2001","N/A","CULPEPER","County","5,054","Earley, Mark","Challenger","3,721","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","74","1,333","R",".00","57.60","42.40","","",""
"Governor","Virginia","2001","N/A","CUMBERLAND","County","1,255","Earley, Mark","Challenger","1,315","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","62","60","D",".00","48.83","51.17","","",""
"Governor","Virginia","2001","N/A","DICKENSON","County","1,837","Earley, Mark","Challenger","2,907","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","19","1,070","D",".00","38.72","61.28","","",""
"Governor","Virginia","2001","N/A","DINWIDDIE","County","3,202","Earley, Mark","Challenger","3,578","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","56","376","D",".00","47.23","52.77","","",""
"Governor","Virginia","2001","N/A","ESSEX","County","1,203","Earley, Mark","Challenger","1,436","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","12","233","D",".00","45.59","54.41","","",""
"Governor","Virginia","2001","N/A","FAIRFAX","County","120,799","Earley, Mark","Challenger","146,537","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","1,678","25,738","D",".00","45.19","54.81","","",""
"Governor","Virginia","2001","N/A","FAUQUIER","County","9,420","Earley, Mark","Challenger","6,952","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","100","2,468","R",".00","57.54","42.46","","",""
"Governor","Virginia","2001","N/A","FLOYD","County","2,331","Earley, Mark","Challenger","2,093","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","69","238","R",".00","52.69","47.31","","",""
"Governor","Virginia","2001","N/A","FLUVANNA","County","3,425","Earley, Mark","Challenger","3,118","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","87","307","R",".00","52.35","47.65","","",""
"Governor","Virginia","2001","N/A","FRANKLIN","County","6,703","Earley, Mark","Challenger","7,182","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","111","479","D",".00","48.28","51.72","","",""
"Governor","Virginia","2001","N/A","FREDERICK","County","9,947","Earley, Mark","Challenger","6,433","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","119","3,514","R",".00","60.73","39.27","","",""
"Governor","Virginia","2001","N/A","GILES","County","2,276","Earley, Mark","Challenger","3,071","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","85","795","D",".00","42.57","57.43","","",""
"Governor","Virginia","2001","N/A","GLOUCESTER","County","5,010","Earley, Mark","Challenger","4,116","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","70","894","R",".00","54.90","45.10","","",""
"Governor","Virginia","2001","N/A","GOOCHLAND","County","3,394","Earley, Mark","Challenger","3,091","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","52","303","R",".00","52.34","47.66","","",""
"Governor","Virginia","2001","N/A","GRAYSON","County","2,824","Earley, Mark","Challenger","2,507","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","40","317","R",".00","52.97","47.03","","",""
"Governor","Virginia","2001","N/A","GREENE","County","2,244","Earley, Mark","Challenger","1,644","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","56","600","R",".00","57.72","42.28","","",""
"Governor","Virginia","2001","N/A","GREENSVILLE","County","841","Earley, Mark","Challenger","1,859","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","9","1,018","D",".00","31.15","68.85","","",""
"Governor","Virginia","2001","N/A","HALIFAX","County","4,366","Earley, Mark","Challenger","5,506","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","179","1,140","D",".00","44.23","55.77","","",""
"Governor","Virginia","2001","N/A","HANOVER","County","18,757","Earley, Mark","Challenger","11,713","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","221","7,044","R",".00","61.56","38.44","","",""
"Governor","Virginia","2001","N/A","HENRICO","County","39,215","Earley, Mark","Challenger","42,089","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","599","2,874","D",".00","48.23","51.77","","",""
"Governor","Virginia","2001","N/A","HENRY","County","5,942","Earley, Mark","Challenger","9,872","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","271","3,930","D",".00","37.57","62.43","","",""
"Governor","Virginia","2001","N/A","HIGHLAND","County","568","Earley, Mark","Challenger","533","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","9","35","R",".00","51.59","48.41","","",""
"Governor","Virginia","2001","N/A","ISLE OF WIGHT","County","4,708","Earley, Mark","Challenger","4,727","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","36","19","D",".00","49.90","50.10","","",""
"Governor","Virginia","2001","N/A","JAMES CITY","County","8,654","Earley, Mark","Challenger","8,505","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","92","149","R",".00","50.43","49.57","","",""
"Governor","Virginia","2001","N/A","KING AND QUEEN","County","872","Earley, Mark","Challenger","1,188","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","14","316","D",".00","42.33","57.67","","",""
"Governor","Virginia","2001","N/A","KING GEORGE","County","2,151","Earley, Mark","Challenger","2,110","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","30","41","R",".00","50.48","49.52","","",""
"Governor","Virginia","2001","N/A","KING WILLIAM","County","1,960","Earley, Mark","Challenger","1,942","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","27","18","R",".00","50.23","49.77","","",""
"Governor","Virginia","2001","N/A","LANCASTER","County","2,373","Earley, Mark","Challenger","2,025","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","34","348","R",".00","53.96","46.04","","",""
"Governor","Virginia","2001","N/A","LEE","County","2,536","Earley, Mark","Challenger","2,923","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","25","387","D",".00","46.46","53.54","","",""
"Governor","Virginia","2001","N/A","LOUDOUN","County","24,372","Earley, Mark","Challenger","20,907","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","330","3,465","R",".00","53.83","46.17","","",""
"Governor","Virginia","2001","N/A","LOUISA","County","3,568","Earley, Mark","Challenger","4,244","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","90","676","D",".00","45.67","54.33","","",""
"Governor","Virginia","2001","N/A","LUNENBURG","County","1,634","Earley, Mark","Challenger","1,996","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","22","362","D",".00","45.01","54.99","","",""
"Governor","Virginia","2001","N/A","MADISON","County","2,121","Earley, Mark","Challenger","1,794","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","77","327","R",".00","54.18","45.82","","",""
"Governor","Virginia","2001","N/A","MATHEWS","County","1,712","Earley, Mark","Challenger","1,516","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","37","196","R",".00","53.04","46.96","","",""
"Governor","Virginia","2001","N/A","MECKLENBURG","County","3,898","Earley, Mark","Challenger","3,519","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","124","379","R",".00","52.55","47.45","","",""
"Governor","Virginia","2001","N/A","MIDDLESEX","County","1,861","Earley, Mark","Challenger","1,757","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","74","104","R",".00","51.44","48.56","","",""
"Governor","Virginia","2001","N/A","MONTGOMERY","County","8,639","Earley, Mark","Challenger","11,154","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","241","2,515","D",".00","43.65","56.35","","",""
"Governor","Virginia","2001","N/A","NELSON","County","1,763","Earley, Mark","Challenger","2,681","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","69","918","D",".00","39.67","60.33","","",""
"Governor","Virginia","2001","N/A","NEW KENT","County","2,532","Earley, Mark","Challenger","2,161","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","44","371","R",".00","53.95","46.05","","",""
"Governor","Virginia","2001","N/A","NORTHAMPTON","County","1,236","Earley, Mark","Challenger","2,316","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","58","1,080","D",".00","34.80","65.20","","",""
"Governor","Virginia","2001","N/A","NORTHUMBERLAND","County","2,159","Earley, Mark","Challenger","2,166","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","30","7","D",".00","49.92","50.08","","",""
"Governor","Virginia","2001","N/A","NOTTOWAY","County","1,824","Earley, Mark","Challenger","2,513","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","44","689","D",".00","42.06","57.94","","",""
"Governor","Virginia","2001","N/A","ORANGE","County","3,902","Earley, Mark","Challenger","3,617","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","94","285","R",".00","51.90","48.10","","",""
"Governor","Virginia","2001","N/A","PAGE","County","3,292","Earley, Mark","Challenger","2,443","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","22","849","R",".00","57.40","42.60","","",""
"Governor","Virginia","2001","N/A","PATRICK","County","2,775","Earley, Mark","Challenger","2,651","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","57","124","R",".00","51.14","48.86","","",""
"Governor","Virginia","2001","N/A","PITTSYLVANIA","County","9,831","Earley, Mark","Challenger","7,462","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","275","2,369","R",".00","56.85","43.15","","",""
"Governor","Virginia","2001","N/A","POWHATAN","County","4,338","Earley, Mark","Challenger","2,558","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","61","1,780","R",".00","62.91","37.09","","",""
"Governor","Virginia","2001","N/A","PRINCE EDWARD","County","1,967","Earley, Mark","Challenger","2,874","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","64","907","D",".00","40.63","59.37","","",""
"Governor","Virginia","2001","N/A","PRINCE GEORGE","County","4,104","Earley, Mark","Challenger","3,414","Warner, Mark R.","Challenger","N/A","N/A","N/A","N/A","52","690","R",".00","54.59","45.41","","",""
