"Office","State","RaceDate","CensusPop","Area","AreaType","RepVotes","RepCandidate","RepStatus","DemVotes","DemCandidate","DemStatus","ThirdParty","ThirdVotes","ThirdCandidate","ThirdStatus","OtherVotes","PluralityVotes","PluralityParty","ThirdVotesTotalPercent","RepVotesMajorPercent","DemVotesMajorPercent","RaceNotes","TitleNotes","OtherNotes"
"Governor","Idaho","19941108","N/A","ADA","County","51,018","Batt, Phil","Challenger","43,233","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","2,751","7,785","R",".00","54.13","45.87","","",""
"Governor","Idaho","19941108","N/A","ADAMS","County","1,040","Batt, Phil","Challenger","609","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","82","431","R",".00","63.07","36.93","","",""
"Governor","Idaho","19941108","N/A","BANNOCK","County","9,871","Batt, Phil","Challenger","16,709","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","831","6,838","D",".00","37.14","62.86","","",""
"Governor","Idaho","19941108","N/A","BEAR LAKE","County","1,412","Batt, Phil","Challenger","1,039","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","36","373","R",".00","57.61","42.39","","",""
"Governor","Idaho","19941108","N/A","BENEWAH","County","1,618","Batt, Phil","Challenger","1,152","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","117","466","R",".00","58.41","41.59","","",""
"Governor","Idaho","19941108","N/A","BINGHAM","County","6,096","Batt, Phil","Challenger","6,991","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","532","895","D",".00","46.58","53.42","","",""
"Governor","Idaho","19941108","N/A","BLAINE","County","2,335","Batt, Phil","Challenger","4,179","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","167","1,844","D",".00","35.85","64.15","","",""
"Governor","Idaho","19941108","N/A","BOISE","County","1,382","Batt, Phil","Challenger","875","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","110","507","R",".00","61.23","38.77","","",""
"Governor","Idaho","19941108","N/A","BONNER","County","4,916","Batt, Phil","Challenger","6,063","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","581","1,147","D",".00","44.78","55.22","","",""
"Governor","Idaho","19941108","N/A","BONNEVILLE","County","15,839","Batt, Phil","Challenger","12,146","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","933","3,693","R",".00","56.60","43.40","","",""
"Governor","Idaho","19941108","N/A","BOUNDARY","County","1,599","Batt, Phil","Challenger","1,435","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","151","164","R",".00","52.70","47.30","","",""
"Governor","Idaho","19941108","N/A","BUTTE","County","627","Batt, Phil","Challenger","607","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","50","20","R",".00","50.81","49.19","","",""
"Governor","Idaho","19941108","N/A","CAMAS","County","279","Batt, Phil","Challenger","186","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","25","93","R",".00","60.00","40.00","","",""
"Governor","Idaho","19941108","N/A","CANYON","County","21,918","Batt, Phil","Challenger","11,263","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","1,187","10,655","R",".00","66.06","33.94","","",""
"Governor","Idaho","19941108","N/A","CARIBOU","County","1,660","Batt, Phil","Challenger","1,143","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","69","517","R",".00","59.22","40.78","","",""
"Governor","Idaho","19941108","N/A","CASSIA","County","3,808","Batt, Phil","Challenger","2,550","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","232","1,258","R",".00","59.89","40.11","","",""
"Governor","Idaho","19941108","N/A","CLARK","County","227","Batt, Phil","Challenger","140","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","46","87","R",".00","61.85","38.15","","",""
"Governor","Idaho","19941108","N/A","CLEARWATER","County","1,829","Batt, Phil","Challenger","1,255","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","153","574","R",".00","59.31","40.69","","",""
"Governor","Idaho","19941108","N/A","CUSTER","County","1,119","Batt, Phil","Challenger","567","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","100","552","R",".00","66.37","33.63","","",""
"Governor","Idaho","19941108","N/A","ELMORE","County","3,463","Batt, Phil","Challenger","1,876","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","274","1,587","R",".00","64.86","35.14","","",""
"Governor","Idaho","19941108","N/A","FRANKLIN","County","2,241","Batt, Phil","Challenger","1,290","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","83","951","R",".00","63.47","36.53","","",""
"Governor","Idaho","19941108","N/A","FREMONT","County","2,462","Batt, Phil","Challenger","1,851","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","144","611","R",".00","57.08","42.92","","",""
"Governor","Idaho","19941108","N/A","GEM","County","3,025","Batt, Phil","Challenger","2,181","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","266","844","R",".00","58.11","41.89","","",""
"Governor","Idaho","19941108","N/A","GOODING","County","2,823","Batt, Phil","Challenger","1,824","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","279","999","R",".00","60.75","39.25","","",""
"Governor","Idaho","19941108","N/A","IDAHO","County","4,024","Batt, Phil","Challenger","1,843","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","239","2,181","R",".00","68.59","31.41","","",""
"Governor","Idaho","19941108","N/A","JEFFERSON","County","3,872","Batt, Phil","Challenger","2,444","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","235","1,428","R",".00","61.30","38.70","","",""
"Governor","Idaho","19941108","N/A","JEROME","County","3,105","Batt, Phil","Challenger","1,918","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","242","1,187","R",".00","61.82","38.18","","",""
"Governor","Idaho","19941108","N/A","KOOTENAI","County","13,702","Batt, Phil","Challenger","13,613","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","2,272","89","R",".00","50.16","49.84","","",""
"Governor","Idaho","19941108","N/A","LATAH","County","5,614","Batt, Phil","Challenger","6,978","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","485","1,364","D",".00","44.58","55.42","","",""
"Governor","Idaho","19941108","N/A","LEMHI","County","2,019","Batt, Phil","Challenger","967","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","152","1,052","R",".00","67.62","32.38","","",""
"Governor","Idaho","19941108","N/A","LEWIS","County","970","Batt, Phil","Challenger","568","Echohawk, Larry","Challenger","N/A","N/A","N/A","N/A","54","402","R",".00","63.07","36.93","","",""
