"Office","State","RaceDate","CensusPop","Area","AreaType","RepVotes","RepCandidate","RepStatus","DemVotes","DemCandidate","DemStatus","ThirdParty","ThirdVotes","ThirdCandidate","ThirdStatus","OtherVotes","PluralityVotes","PluralityParty","ThirdVotesTotalPercent","RepVotesMajorPercent","DemVotesMajorPercent","RaceNotes","TitleNotes","OtherNotes"
"Governor","West Virginia","19961105","N/A","BARBOUR","County","3,214","Underwood, Cecil H.","Challenger","2,596","Pritt, Charlotte","Challenger","Libertarian","169","Johnson (West Virginia), NULL","Challenger","N/A","618","R","2.83","55.32","44.68",NA,NA,NA
"Governor","West Virginia","19961105","N/A","BERKELEY","County","10,666","Underwood, Cecil H.","Challenger","8,851","Pritt, Charlotte","Challenger","Libertarian","479","Johnson (West Virginia), NULL","Challenger","N/A","1,815","R","2.4","54.65","45.35",NA,NA,NA
"Governor","West Virginia","19961105","N/A","BOONE","County","2,846","Underwood, Cecil H.","Challenger","5,787","Pritt, Charlotte","Challenger","Libertarian","189","Johnson (West Virginia), NULL","Challenger","N/A","2,941","D","2.14","32.97","67.03",NA,NA,NA
"Governor","West Virginia","19961105","N/A","BRAXTON","County","2,276","Underwood, Cecil H.","Challenger","2,569","Pritt, Charlotte","Challenger","Libertarian","92","Johnson (West Virginia), NULL","Challenger","N/A","293","D","1.86","46.98","53.02",NA,NA,NA
"Governor","West Virginia","19961105","N/A","BROOKE","County","4,158","Underwood, Cecil H.","Challenger","4,942","Pritt, Charlotte","Challenger","Libertarian","271","Johnson (West Virginia), NULL","Challenger","N/A","784","D","2.89","45.69","54.31",NA,NA,NA
"Governor","West Virginia","19961105","N/A","CABELL","County","18,480","Underwood, Cecil H.","Challenger","12,524","Pritt, Charlotte","Challenger","Libertarian","860","Johnson (West Virginia), NULL","Challenger","N/A","5,956","R","2.7","59.61","40.39",NA,NA,NA
"Governor","West Virginia","19961105","N/A","CALHOUN","County","1,508","Underwood, Cecil H.","Challenger","1,191","Pritt, Charlotte","Challenger","Libertarian","44","Johnson (West Virginia), NULL","Challenger","N/A","317","R","1.6","55.87","44.13",NA,NA,NA
"Governor","West Virginia","19961105","N/A","CLAY","County","1,710","Underwood, Cecil H.","Challenger","1,760","Pritt, Charlotte","Challenger","Libertarian","95","Johnson (West Virginia), NULL","Challenger","N/A","50","D","2.66","49.28","50.72",NA,NA,NA
"Governor","West Virginia","19961105","N/A","DODDRIDGE","County","1,797","Underwood, Cecil H.","Challenger","735","Pritt, Charlotte","Challenger","Libertarian","59","Johnson (West Virginia), NULL","Challenger","N/A","1,062","R","2.28","70.97","29.03",NA,NA,NA
"Governor","West Virginia","19961105","N/A","FAYETTE","County","5,427","Underwood, Cecil H.","Challenger","8,558","Pritt, Charlotte","Challenger","Libertarian","511","Johnson (West Virginia), NULL","Challenger","N/A","3,131","D","3.53","38.81","61.19",NA,NA,NA
"Governor","West Virginia","19961105","N/A","GILMER","County","1,560","Underwood, Cecil H.","Challenger","1,026","Pritt, Charlotte","Challenger","Libertarian","42","Johnson (West Virginia), NULL","Challenger","N/A","534","R","1.6","60.32","39.68",NA,NA,NA
"Governor","West Virginia","19961105","N/A","GRANT","County","3,233","Underwood, Cecil H.","Challenger","973","Pritt, Charlotte","Challenger","Libertarian","67","Johnson (West Virginia), NULL","Challenger","N/A","2,260","R","1.57","76.87","23.13",NA,NA,NA
"Governor","West Virginia","19961105","N/A","GREENBRIER","County","6,705","Underwood, Cecil H.","Challenger","5,129","Pritt, Charlotte","Challenger","Libertarian","369","Johnson (West Virginia), NULL","Challenger","N/A","1,576","R","3.02","56.66","43.34",NA,NA,NA
"Governor","West Virginia","19961105","N/A","HAMPSHIRE","County","3,339","Underwood, Cecil H.","Challenger","2,335","Pritt, Charlotte","Challenger","Libertarian","112","Johnson (West Virginia), NULL","Challenger","N/A","1,004","R","1.94","58.85","41.15",NA,NA,NA
"Governor","West Virginia","19961105","N/A","HANCOCK","County","5,701","Underwood, Cecil H.","Challenger","7,610","Pritt, Charlotte","Challenger","Libertarian","220","Johnson (West Virginia), NULL","Challenger","N/A","1,909","D","1.63","42.83","57.17",NA,NA,NA
"Governor","West Virginia","19961105","N/A","HARDY","County","2,909","Underwood, Cecil H.","Challenger","1,214","Pritt, Charlotte","Challenger","Libertarian","63","Johnson (West Virginia), NULL","Challenger","N/A","1,695","R","1.51","70.56","29.44",NA,NA,NA
"Governor","West Virginia","19961105","N/A","HARRISON","County","13,744","Underwood, Cecil H.","Challenger","12,303","Pritt, Charlotte","Challenger","Libertarian","653","Johnson (West Virginia), NULL","Challenger","N/A","1,441","R","2.45","52.77","47.23",NA,NA,NA
"Governor","West Virginia","19961105","N/A","JACKSON","County","5,814","Underwood, Cecil H.","Challenger","4,046","Pritt, Charlotte","Challenger","Libertarian","259","Johnson (West Virginia), NULL","Challenger","N/A","1,768","R","2.56","58.97","41.03",NA,NA,NA
"Governor","West Virginia","19961105","N/A","JEFFERSON","County","5,986","Underwood, Cecil H.","Challenger","6,370","Pritt, Charlotte","Challenger","Libertarian","299","Johnson (West Virginia), NULL","Challenger","N/A","384","D","2.36","48.45","51.55",NA,NA,NA
"Governor","West Virginia","19961105","N/A","KANAWHA","County","41,776","Underwood, Cecil H.","Challenger","30,795","Pritt, Charlotte","Challenger","Libertarian","1,886","Johnson (West Virginia), NULL","Challenger","N/A","10,981","R","2.53","57.57","42.43",NA,NA,NA
"Governor","West Virginia","19961105","N/A","LEWIS","County","3,604","Underwood, Cecil H.","Challenger","2,355","Pritt, Charlotte","Challenger","Libertarian","213","Johnson (West Virginia), NULL","Challenger","N/A","1,249","R","3.45","60.48","39.52",NA,NA,NA
"Governor","West Virginia","19961105","N/A","LINCOLN","County","3,281","Underwood, Cecil H.","Challenger","4,815","Pritt, Charlotte","Challenger","Libertarian","187","Johnson (West Virginia), NULL","Challenger","N/A","1,534","D","2.26","40.53","59.47",NA,NA,NA
"Governor","West Virginia","19961105","N/A","LOGAN","County","4,164","Underwood, Cecil H.","Challenger","11,010","Pritt, Charlotte","Challenger","Libertarian","167","Johnson (West Virginia), NULL","Challenger","N/A","6,846","D","1.09","27.44","72.56",NA,NA,NA
"Governor","West Virginia","19961105","N/A","MARION","County","9,818","Underwood, Cecil H.","Challenger","11,544","Pritt, Charlotte","Challenger","Libertarian","479","Johnson (West Virginia), NULL","Challenger","N/A","1,726","D","2.19","45.96","54.04",NA,NA,NA
"Governor","West Virginia","19961105","N/A","MARSHALL","County","6,481","Underwood, Cecil H.","Challenger","6,630","Pritt, Charlotte","Challenger","Libertarian","485","Johnson (West Virginia), NULL","Challenger","N/A","149","D","3.57","49.43","50.57",NA,NA,NA
"Governor","West Virginia","19961105","N/A","MASON","County","5,539","Underwood, Cecil H.","Challenger","4,602","Pritt, Charlotte","Challenger","Libertarian","310","Johnson (West Virginia), NULL","Challenger","N/A","937","R","2.97","54.62","45.38",NA,NA,NA
