"Office","State","RaceDate","CensusPop","Area","AreaType","RepVotes","RepCandidate","RepStatus","DemVotes","DemCandidate","DemStatus","ThirdParty","ThirdVotes","ThirdCandidate","ThirdStatus","OtherVotes","PluralityVotes","PluralityParty","ThirdVotesTotalPercent","RepVotesMajorPercent","DemVotesMajorPercent","RaceNotes","TitleNotes","OtherNotes"
"Governor","Illinois","20101102","N/A","ADAMS","County","17,765","Brady, Bill","Challenger","4,883","Quinn, Pat","Incumbent","Independent","714","Cohen, Scott Lee","Challenger","488","12,882","R","2.99","78.44","21.56","The other vote was: Whitney, Rich (Green) 305; Green, Lex (Libertarian) 183","","The other vote was: Whitney, Rich (Green) 305; Green, Lex (Libertarian) 183"
"Governor","Illinois","20101102","N/A","ALEXANDER","County","1,248","Brady, Bill","Challenger","1,371","Quinn, Pat","Incumbent","Independent","55","Cohen, Scott Lee","Challenger","80","123","D","2.00","47.65","52.35","The other vote was: Whitney, Rich (Green) 66; Green, Lex (Libertarian) 14","","The other vote was: Whitney, Rich (Green) 66; Green, Lex (Libertarian) 14"
"Governor","Illinois","20101102","N/A","BOND","County","3,345","Brady, Bill","Challenger","1,847","Quinn, Pat","Incumbent","Independent","176","Cohen, Scott Lee","Challenger","136","1,498","R","3.20","64.43","35.57","The other vote was: Whitney, Rich (Green) 66; Green, Lex (Libertarian) 54; White, Michael (Write-in) 16","","The other vote was: Whitney, Rich (Green) 66; Green, Lex (Libertarian) 54; White, Michael (Write-in) 16"
"Governor","Illinois","20101102","N/A","BOONE","County","9,074","Brady, Bill","Challenger","4,414","Quinn, Pat","Incumbent","Independent","833","Cohen, Scott Lee","Challenger","618","4,660","R","5.58","67.27","32.73","The other vote was: Whitney, Rich (Green) 466; Green, Lex (Libertarian) 152","","The other vote was: Whitney, Rich (Green) 466; Green, Lex (Libertarian) 152"
"Governor","Illinois","20101102","N/A","BROWN","County","1,503","Brady, Bill","Challenger","499","Quinn, Pat","Incumbent","Independent","73","Cohen, Scott Lee","Challenger","71","1,004","R","3.40","75.07","24.93","The other vote was: Whitney, Rich (Green) 45; Green, Lex (Libertarian) 26","","The other vote was: Whitney, Rich (Green) 45; Green, Lex (Libertarian) 26"
"Governor","Illinois","20101102","N/A","BUREAU","County","7,319","Brady, Bill","Challenger","4,371","Quinn, Pat","Incumbent","Independent","574","Cohen, Scott Lee","Challenger","457","2,948","R","4.51","62.61","37.39","The other vote was: Whitney, Rich (Green) 350; Green, Lex (Libertarian) 107","","The other vote was: Whitney, Rich (Green) 350; Green, Lex (Libertarian) 107"
"Governor","Illinois","20101102","N/A","CALHOUN","County","1,227","Brady, Bill","Challenger","961","Quinn, Pat","Incumbent","Independent","58","Cohen, Scott Lee","Challenger","51","266","R","2.53","56.08","43.92","The other vote was: Whitney, Rich (Green) 42; Green, Lex (Libertarian) 9","","The other vote was: Whitney, Rich (Green) 42; Green, Lex (Libertarian) 9"
"Governor","Illinois","20101102","N/A","CARROLL","County","3,361","Brady, Bill","Challenger","1,445","Quinn, Pat","Incumbent","Independent","207","Cohen, Scott Lee","Challenger","173","1,916","R","3.99","69.93","30.07","The other vote was: Whitney, Rich (Green) 121; Green, Lex (Libertarian) 52","","The other vote was: Whitney, Rich (Green) 121; Green, Lex (Libertarian) 52"
"Governor","Illinois","20101102","N/A","CASS","County","2,433","Brady, Bill","Challenger","1,088","Quinn, Pat","Incumbent","Independent","191","Cohen, Scott Lee","Challenger","150","1,345","R","4.95","69.10","30.90","The other vote was: Whitney, Rich (Green) 122; Green, Lex (Libertarian) 28","","The other vote was: Whitney, Rich (Green) 122; Green, Lex (Libertarian) 28"
"Governor","Illinois","20101102","N/A","CHAMPAIGN","County","29,297","Brady, Bill","Challenger","21,053","Quinn, Pat","Incumbent","Independent","1,047","Cohen, Scott Lee","Challenger","2,174","8,244","R","1.95","58.19","41.81","The other vote was: Whitney, Rich (Green) 1,594; Green, Lex (Libertarian) 580","","The other vote was: Whitney, Rich (Green) 1,594; Green, Lex (Libertarian) 580"
