"Office","State","RaceDate","CensusPop","Area","AreaType","RepVotes","RepCandidate","RepStatus","DemVotes","DemCandidate","DemStatus","ThirdParty","ThirdVotes","ThirdCandidate","ThirdStatus","OtherVotes","PluralityVotes","PluralityParty","ThirdVotesTotalPercent","RepVotesMajorPercent","DemVotesMajorPercent","RaceNotes","TitleNotes","OtherNotes"
"Governor","Idaho","20021105","N/A","ADA","County","51,258","Kempthorne, Dirk","Incumbent","52,360","Brady, Jerry M.","Challenger","N/A","N/A","N/A","N/A","1,806","1,102","D",".00","49.47","50.53","","",""
"Governor","Idaho","20021105","N/A","ADAMS","County","1,009","Kempthorne, Dirk","Incumbent","547","Brady, Jerry M.","Challenger","N/A","N/A","N/A","N/A","45","462","R",".00","64.85","35.15","","",""
"Governor","Idaho","20021105","N/A","BANNOCK","County","11,416","Kempthorne, Dirk","Incumbent","13,070","Brady, Jerry M.","Challenger","N/A","N/A","N/A","N/A","503","1,654","D",".00","46.62","53.38","","",""
"Governor","Idaho","20021105","N/A","BEAR LAKE","County","1,663","Kempthorne, Dirk","Incumbent","734","Brady, Jerry M.","Challenger","N/A","N/A","N/A","N/A","36","929","R",".00","69.38","30.62","","",""
"Governor","Idaho","20021105","N/A","BENEWAH","County","1,919","Kempthorne, Dirk","Incumbent","1,227","Brady, Jerry M.","Challenger","N/A","N/A","N/A","N/A","97","692","R",".00","61.00","39.00","","",""
"Governor","Idaho","20021105","N/A","BINGHAM","County","7,659","Kempthorne, Dirk","Incumbent","4,389","Brady, Jerry M.","Challenger","N/A","N/A","N/A","N/A","259","3,270","R",".00","63.57","36.43","","",""
"Governor","Idaho","20021105","N/A","BLAINE","County","2,693","Kempthorne, Dirk","Incumbent","3,403","Brady, Jerry M.","Challenger","N/A","N/A","N/A","N/A","180","710","D",".00","44.18","55.82","","",""
"Governor","Idaho","20021105","N/A","BOISE","County","1,394","Kempthorne, Dirk","Incumbent","1,184","Brady, Jerry M.","Challenger","N/A","N/A","N/A","N/A","91","210","R",".00","54.07","45.93","","",""
"Governor","Idaho","20021105","N/A","BONNER","County","5,797","Kempthorne, Dirk","Incumbent","4,932","Brady, Jerry M.","Challenger","N/A","N/A","N/A","N/A","259","865","R",".00","54.03","45.97","","",""
"Governor","Idaho","20021105","N/A","BONNEVILLE","County","17,520","Kempthorne, Dirk","Incumbent","10,380","Brady, Jerry M.","Challenger","N/A","N/A","N/A","N/A","580","7,140","R",".00","62.80","37.20","","",""
