"Office","State","RaceDate","CensusPop","Area","AreaType","RepVotes","RepCandidate","RepStatus","DemVotes","DemCandidate","DemStatus","ThirdParty","ThirdVotes","ThirdCandidate","ThirdStatus","OtherVotes","PluralityVotes","PluralityParty","ThirdVotesTotalPercent","RepVotesMajorPercent","DemVotesMajorPercent","RaceNotes","TitleNotes","OtherNotes"
"Governor","Idaho","20141104","N/A","ADA","County","55,407","Otter, C. L.","Incumbent","66,347","Balukoff, A.J.","Challenger","Libertarian","4,424","Bujak, John T.","Challenger","3,500","10,940","D","3.41","45.51","54.49","The other vote was: Pankey, Steven D. (Constitution) 877; Humble, Jill (Independent) 2,008; Pro-Life (Independent) 600; Write-Ins (Write-in) 15","","The other vote was: Pankey, Steven D. (Constitution) 877; Humble, Jill (Independent) 2,008; Pro-Life (Independent) 600; Write-Ins (Write-in) 15"
"Governor","Idaho","20141104","N/A","ADAMS","County","907","Otter, C. L.","Incumbent","373","Balukoff, A.J.","Challenger","Libertarian","57","Bujak, John T.","Challenger","71","534","R","4.05","70.86","29.14","The other vote was: Pankey, Steven D. (Constitution) 24; Humble, Jill (Independent) 38; Pro-Life (Independent) 9; Write-Ins (Write-in) 0","","The other vote was: Pankey, Steven D. (Constitution) 24; Humble, Jill (Independent) 38; Pro-Life (Independent) 9; Write-Ins (Write-in) 0"
"Governor","Idaho","20141104","N/A","BANNOCK","County","10,282","Otter, C. L.","Incumbent","10,355","Balukoff, A.J.","Challenger","Libertarian","824","Bujak, John T.","Challenger","993","73","D","3.67","49.82","50.18","The other vote was: Pankey, Steven D. (Constitution) 254; Humble, Jill (Independent) 629; Pro-Life (Independent) 109; Write-Ins (Write-in) 1","","The other vote was: Pankey, Steven D. (Constitution) 254; Humble, Jill (Independent) 629; Pro-Life (Independent) 109; Write-Ins (Write-in) 1"
"Governor","Idaho","20141104","N/A","BEAR LAKE","County","1,378","Otter, C. L.","Incumbent","317","Balukoff, A.J.","Challenger","Libertarian","64","Bujak, John T.","Challenger","133","1,061","R","3.38","81.30","18.70","The other vote was: Pankey, Steven D. (Constitution) 40; Humble, Jill (Independent) 82; Pro-Life (Independent) 11; Write-Ins (Write-in) 0","","The other vote was: Pankey, Steven D. (Constitution) 40; Humble, Jill (Independent) 82; Pro-Life (Independent) 11; Write-Ins (Write-in) 0"
"Governor","Idaho","20141104","N/A","BENEWAH","County","1,421","Otter, C. L.","Incumbent","781","Balukoff, A.J.","Challenger","Libertarian","278","Bujak, John T.","Challenger","191","640","R","10.41","64.53","35.47","The other vote was: Pankey, Steven D. (Constitution) 89; Humble, Jill (Independent) 81; Pro-Life (Independent) 21; Write-Ins (Write-in) 0","","The other vote was: Pankey, Steven D. (Constitution) 89; Humble, Jill (Independent) 81; Pro-Life (Independent) 21; Write-Ins (Write-in) 0"
"Governor","Idaho","20141104","N/A","BINGHAM","County","6,725","Otter, C. L.","Incumbent","2,942","Balukoff, A.J.","Challenger","Libertarian","514","Bujak, John T.","Challenger","463","3,783","R","4.83","69.57","30.43","The other vote was: Pankey, Steven D. (Constitution) 134; Humble, Jill (Independent) 270; Pro-Life (Independent) 59; Write-Ins (Write-in) 0","","The other vote was: Pankey, Steven D. (Constitution) 134; Humble, Jill (Independent) 270; Pro-Life (Independent) 59; Write-Ins (Write-in) 0"
"Governor","Idaho","20141104","N/A","BLAINE","County","2,401","Otter, C. L.","Incumbent","4,363","Balukoff, A.J.","Challenger","Libertarian","168","Bujak, John T.","Challenger","164","1,962","D","2.37","35.50","64.50","The other vote was: Pankey, Steven D. (Constitution) 31; Humble, Jill (Independent) 105; Pro-Life (Independent) 28; Write-Ins (Write-in) 0","","The other vote was: Pankey, Steven D. (Constitution) 31; Humble, Jill (Independent) 105; Pro-Life (Independent) 28; Write-Ins (Write-in) 0"
"Governor","Idaho","20141104","N/A","BOISE","County","1,607","Otter, C. L.","Incumbent","846","Balukoff, A.J.","Challenger","Libertarian","132","Bujak, John T.","Challenger","118","761","R","4.88","65.51","34.49","The other vote was: Pankey, Steven D. (Constitution) 33; Humble, Jill (Independent) 64; Pro-Life (Independent) 21; Write-Ins (Write-in) 0","","The other vote was: Pankey, Steven D. (Constitution) 33; Humble, Jill (Independent) 64; Pro-Life (Independent) 21; Write-Ins (Write-in) 0"
"Governor","Idaho","20141104","N/A","BONNER","County","6,907","Otter, C. L.","Incumbent","4,410","Balukoff, A.J.","Challenger","Libertarian","753","Bujak, John T.","Challenger","729","2,497","R","5.88","61.03","38.97","The other vote was: Pankey, Steven D. (Constitution) 281; Humble, Jill (Independent) 306; Pro-Life (Independent) 142; Write-Ins (Write-in) 0","","The other vote was: Pankey, Steven D. (Constitution) 281; Humble, Jill (Independent) 306; Pro-Life (Independent) 142; Write-Ins (Write-in) 0"
"Governor","Idaho","20141104","N/A","BONNEVILLE","County","15,295","Otter, C. L.","Incumbent","9,377","Balukoff, A.J.","Challenger","Libertarian","1,284","Bujak, John T.","Challenger","1,044","5,918","R","4.76","61.99","38.01","The other vote was: Pankey, Steven D. (Constitution) 319; Humble, Jill (Independent) 571; Pro-Life (Independent) 141; Write-Ins (Write-in) 13","","The other vote was: Pankey, Steven D. (Constitution) 319; Humble, Jill (Independent) 571; Pro-Life (Independent) 141; Write-Ins (Write-in) 13"
"Governor","Idaho","20141104","N/A","BOUNDARY","County","1,997","Otter, C. L.","Incumbent","850","Balukoff, A.J.","Challenger","Libertarian","252","Bujak, John T.","Challenger","260","1,147","R","7.50","70.14","29.86","The other vote was: Pankey, Steven D. (Constitution) 137; Humble, Jill (Independent) 94; Pro-Life (Independent) 29; Write-Ins (Write-in) 0","","The other vote was: Pankey, Steven D. (Constitution) 137; Humble, Jill (Independent) 94; Pro-Life (Independent) 29; Write-Ins (Write-in) 0"
