"Office","State","RaceDate","CensusPop","Area","AreaType","TotalVotes","RepVotes","RepCandidate","RepStatus","DemVotes","DemCandidate","DemStatus","ThirdParty","ThirdVotes","ThirdCandidate","ThirdStatus","OtherVotes","PluralityVotes","PluralityParty","RepVotesTotalPercent","DemVotesTotalPercent","ThirdVotesTotalPercent","OtherVotesTotalPercent","RepVotesMajorPercent","DemVotesMajorPercent","RaceNotes","TitleNotes","OtherNotes"
"President","Ohio","19961105","N/A","CHAMPAIGN","County","14,893","6,568","Dole, Robert","Challenger","5,990","Clinton, Bill","Incumbent","Reform","2,219","Perot, Ross","Challenger","116","578","R","44.10","40.22","14.90",".78","52.30","47.70","","",""
"President","Ohio","19961105","N/A","CLARK","County","57,802","22,297","Dole, Robert","Challenger","27,890","Clinton, Bill","Incumbent","Reform","7,083","Perot, Ross","Challenger","532","5,593","D","38.57","48.25","12.25",".92","44.43","55.57","","",""
"President","Ohio","19961105","N/A","CLERMONT","County","64,174","36,457","Dole, Robert","Challenger","21,329","Clinton, Bill","Incumbent","Reform","5,795","Perot, Ross","Challenger","593","15,128","R","56.81","33.24","9.03",".92","63.09","36.91","","",""
"President","Ohio","19961105","N/A","CLINTON","County","14,521","7,504","Dole, Robert","Challenger","5,303","Clinton, Bill","Incumbent","Reform","1,588","Perot, Ross","Challenger","126","2,201","R","51.68","36.52","10.94",".87","58.59","41.41","","",""
"President","Ohio","19961105","N/A","COLUMBIANA","County","43,629","15,386","Dole, Robert","Challenger","20,716","Clinton, Bill","Incumbent","Reform","7,127","Perot, Ross","Challenger","400","5,330","D","35.27","47.48","16.34",".92","42.62","57.38","","",""
"President","Ohio","19961105","N/A","COSHOCTON","County","14,330","6,018","Dole, Robert","Challenger","6,005","Clinton, Bill","Incumbent","Reform","2,183","Perot, Ross","Challenger","124","13","R","42.00","41.91","15.23",".87","50.05","49.95","","",""
"President","Ohio","19961105","N/A","CRAWFORD","County","19,451","8,730","Dole, Robert","Challenger","7,449","Clinton, Bill","Incumbent","Reform","3,072","Perot, Ross","Challenger","200","1,281","R","44.88","38.30","15.79","1.03","53.96","46.04","","",""
"President","Ohio","19961105","N/A","CUYAHOGA","County","561,892","163,770","Dole, Robert","Challenger","341,357","Clinton, Bill","Incumbent","Reform","50,691","Perot, Ross","Challenger","6,074","177,587","D","29.15","60.75","9.02","1.08","32.42","67.58","","",""
"President","Ohio","19961105","N/A","DARKE","County","23,032","10,798","Dole, Robert","Challenger","8,871","Clinton, Bill","Incumbent","Reform","3,168","Perot, Ross","Challenger","195","1,927","R","46.88","38.52","13.75",".85","54.90","45.10","","",""
"President","Ohio","19961105","N/A","DEFIANCE","County","15,893","7,469","Dole, Robert","Challenger","6,343","Clinton, Bill","Incumbent","Reform","1,929","Perot, Ross","Challenger","152","1,126","R","47.00","39.91","12.14",".96","54.08","45.92","","",""
