state,county,total_pop,white,black,latino,non_white,pct_white,pct_nonwhite,pct_latino
Alabama,AUTAUGA,54590,41982,9796,1310,12608,0.769041949,0.230958051,0.023997069
Alabama,BALDWIN,183226,153183,16922,7915,30043,0.836033096,0.163966904,0.043198018
Alabama,BARBOUR,27469,12865,12610,1365,14604,0.468346136,0.531653864,0.049692381
Alabama,BIBB,22769,17058,4944,419,5711,0.749176512,0.250823488,0.018402214
Alabama,BLOUNT,57466,51033,710,4646,6433,0.888055546,0.111944454,0.080847806
Alabama,BULLOCK,10779,2405,7609,623,8374,0.223119028,0.776880972,0.057797569
Alabama,BUTLER,20730,11199,8961,203,9531,0.540231548,0.459768452,0.009792571
Alabama,CALHOUN,117834,86764,24164,3838,31070,0.736323981,0.263676019,0.032571244
Alabama,CHAMBERS,34228,19869,13383,555,14359,0.580489658,0.419510342,0.016214795
Alabama,CHEROKEE,25917,23848,1234,333,2069,0.920168229,0.079831771,0.012848709
Alabama,CHILTON,43611,35481,4257,3238,8130,0.813579143,0.186420857,0.074247323
Alabama,CHOCTAW,13838,7664,5919,83,6174,0.55383726,0.44616274,0.005997977
Alabama,CLARKE,25768,13879,11310,183,11889,0.538613785,0.461386215,0.007101832
Alabama,CLAY,13828,11070,2157,401,2758,0.800549609,0.199450391,0.028999132
Alabama,CLEBURNE,14905,13852,573,313,1053,0.929352566,0.070647434,0.020999665
Alabama,COFFEE,49966,36140,8579,3070,13826,0.723291838,0.276708162,0.06144178
Alabama,COLBERT,54451,43334,8706,1132,11117,0.795834787,0.204165213,0.020789334
Alabama,CONECUH,13188,6756,6130,38,6432,0.512283894,0.487716106,0.002881407
Alabama,COOSA,11305,7431,3558,225,3874,0.65731977,0.34268023,0.019902698
Alabama,COVINGTON,37803,31734,4744,516,6069,0.839457186,0.160542814,0.01364971
Alabama,CRENSHAW,13971,9932,3099,213,4039,0.710901152,0.289098848,0.015245866
Alabama,CULLMAN,80403,74566,743,3402,5837,0.927403206,0.072596794,0.042311854
Alabama,DALE,50129,35388,9491,2794,14741,0.705938678,0.294061322,0.055736201
Alabama,DALLAS,43572,12651,30027,315,30921,0.290347012,0.709652988,0.007229413
Alabama,DEKALB,70949,57992,1162,9544,12957,0.817375862,0.182624138,0.134519162
Alabama,ELMORE,79330,59267,15916,2091,20063,0.747094416,0.252905584,0.02635825
Alabama,ESCAMBIA,38122,23359,12265,730,14763,0.612743298,0.387256702,0.019149048
