office,state,year,district,redistrict_date,rep_votes,rep_candidate,rep_status,dem_votes,dem_candidate,dem_status,third_party,third_votes,third_candidate,third_status,other_votes,plurality_votes,plurality_party,pct_third,pct_rep,pct_dem
House,Missouri,2000,District 9,19920101,"172,787","Hulshof, Kenny",Incumbent,"111,662","Carroll, Steven R.",Challenger,N/A,N/A,N/A,N/A,"7,161","61,125",R,0,60.74,39.26
House,Missouri,1998,District 9,19920101,"117,196","Hulshof, Kenny",Incumbent,"66,861","Vogt, Linda",Challenger,N/A,N/A,N/A,N/A,"4,248","50,335",R,0,63.67,36.33
House,Missouri,1996,District 9,19920101,"123,580","Hulshof, Kenny",Challenger,"117,685","Volkmer, Harold",Incumbent,N/A,N/A,N/A,N/A,"8,965","5,895",R,0,51.22,48.78
House,Missouri,1994,District 9,19920101,"92,301","Hulshof, Kenny",Challenger,"103,443","Volkmer, Harold",Incumbent,N/A,N/A,N/A,N/A,"9,198","11,142",D,0,47.15,52.85
House,Missouri,1992,District 9,19920101,"118,811","Hardy, Rick",Challenger,"124,694","Volkmer, Harold",Incumbent,N/A,N/A,N/A,N/A,"17,830","5,883",D,0,48.79,51.21
House,Nebraska,2000,District 1,19920101,"155,485","Bereuter, Douglas K.",Incumbent,"72,859","Jacobsen, Alan",Challenger,N/A,N/A,N/A,N/A,"6,354","82,626",R,0,68.09,31.91
House,Nebraska,1998,District 1,19920101,"136,058","Bereuter, Douglas K.",Incumbent,"48,826","Eret, Don",Challenger,N/A,N/A,N/A,N/A,343,"87,232",R,0,73.59,26.41
House,Nebraska,1996,District 1,19920101,"157,108","Bereuter, Douglas K.",Incumbent,"67,152","Combs, Patrick",Challenger,N/A,N/A,N/A,N/A,303,"89,956",R,0,70.06,29.94
House,Nebraska,1994,District 1,19920101,"117,967","Bereuter, Douglas K.",Incumbent,"70,369","Combs, Patrick",Challenger,N/A,N/A,N/A,N/A,214,"47,598",R,0,62.64,37.36
House,Nebraska,1992,District 1,19920101,"142,713","Bereuter, Douglas K.",Incumbent,"96,309","Finnegan, Gerry",Challenger,N/A,N/A,N/A,N/A,86,"46,404",R,0,59.71,40.29
House,Nebraska,2000,District 2,19920101,"148,911","Terry, Lee",Incumbent,"70,268","Kiel, Shelley",Challenger,N/A,N/A,N/A,N/A,"7,101","78,643",R,0,67.94,32.06
House,Nebraska,1998,District 2,19920101,"106,782","Terry, Lee",Challenger,"55,722","Scott, Michael",Challenger,N/A,N/A,N/A,N/A,499,"51,060",R,0,65.71,34.29
House,Nebraska,1996,District 2,19920101,"125,201","Christensen, Jon",Incumbent,"88,447","Davis, James M.",Challenger,N/A,N/A,N/A,N/A,"6,676","36,754",R,0,58.6,41.4
House,Nebraska,1994,District 2,19920101,"92,516","Christensen, Jon",Challenger,"90,750","Hoagland, Peter",Incumbent,N/A,N/A,N/A,N/A,"2,044","1,766",R,0,50.48,49.52
House,Nebraska,1992,District 2,19920101,"113,828","Staskiewicz, Ronald L.",Challenger,"119,512","Hoagland, Peter",Incumbent,N/A,N/A,N/A,N/A,32,"5,684",D,0,48.78,51.22
House,Nebraska,2000,District 3,19920101,"182,117","Osborne, Tom",Challenger,"34,944","Reynolds, Roland E.",Challenger,N/A,N/A,N/A,N/A,"5,032","147,173",R,0,83.9,16.1
House,Nebraska,1998,District 3,19920101,"149,896","Barrett, Bill",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"27,833","149,896",R,0,100,0
House,Nebraska,1996,District 3,19920101,"167,758","Barrett, Bill",Incumbent,"48,833","Webster, John",Challenger,N/A,N/A,N/A,N/A,166,"118,925",R,0,77.45,22.55
House,Nebraska,1994,District 3,19920101,"154,919","Barrett, Bill",Incumbent,"41,943","Chapin, Gil",Challenger,N/A,N/A,N/A,N/A,N/A,"112,976",R,0,78.69,21.31
House,Nebraska,1992,District 3,19920101,"170,857","Barrett, Bill",Incumbent,"67,457","Fisher, Lowell",Challenger,N/A,N/A,N/A,N/A,41,"103,400",R,0,71.69,28.31
House,Nevada,2000,District 1,19920101,"101,276","Porter, Jon",Challenger,"118,469","Berkley, Shelley",Incumbent,N/A,N/A,N/A,N/A,"9,490","17,193",D,0,46.09,53.91
House,Nevada,1998,District 1,19920101,"73,540","Chairez, Don",Challenger,"79,315","Berkley, Shelley",Challenger,N/A,N/A,N/A,N/A,"8,227","5,775",D,0,48.11,51.89
House,Nevada,1996,District 1,19920101,"86,472","Ensign, John",Incumbent,"75,081","Coffin, Bob",Challenger,N/A,N/A,N/A,N/A,"11,040","11,391",R,0,53.53,46.47
House,Nevada,1994,District 1,19920101,"73,769","Ensign, John",Challenger,"72,333","Bilbray, James",Incumbent,N/A,N/A,N/A,N/A,"6,065","1,436",R,0,50.49,49.51
House,Nevada,1992,District 1,19920101,"84,217","Pettyjohn, J. Coy",Challenger,"128,278","Bilbray, James",Incumbent,N/A,N/A,N/A,N/A,"8,993","44,061",D,0,39.63,60.37
House,Nevada,2000,District 2,19920101,"229,608","Gibbons, James A.",Incumbent,"106,379","Cahill, Tierney",Challenger,N/A,N/A,N/A,N/A,"19,982","123,229",R,0,68.34,31.66
House,Nevada,1998,District 2,19920101,"201,623","Gibbons, James A.",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"47,140","201,623",R,0,100,0
House,Nevada,1996,District 2,19920101,"162,310","Gibbons, James A.",Challenger,"97,742","Wilson, Thomas",Challenger,N/A,N/A,N/A,N/A,"17,140","64,568",R,0,62.41,37.59
House,Nevada,1994,District 2,19920101,"142,202","Vucanovich, Barbara",Incumbent,"65,390","Greeson, Janet",Challenger,N/A,N/A,N/A,N/A,"16,340","76,812",R,0,68.5,31.5
House,Nevada,1992,District 2,19920101,"129,575","Vucanovich, Barbara",Incumbent,"117,199","Sferrazza, Pete",Challenger,N/A,N/A,N/A,N/A,"23,687","12,376",R,0,52.51,47.49
House,New Hampshire,2000,District 1,19920101,"150,609","Sununu, John E.",Incumbent,"128,387","Clark, Martha Fuller",Challenger,N/A,N/A,N/A,N/A,"5,866","22,222",R,0,53.98,46.02
House,New Hampshire,1998,District 1,19920101,"104,430","Sununu, John E.",Incumbent,"51,783","Flood, Peter",Challenger,N/A,N/A,N/A,N/A,156,"52,647",R,0,66.85,33.15
House,New Hampshire,1996,District 1,19920101,"123,939","Sununu, John E.",Challenger,"115,462","Keefe, Joe",Challenger,N/A,N/A,N/A,N/A,"8,335","8,477",R,0,51.77,48.23
House,New Hampshire,1994,District 1,19920101,"97,017","Zeliff, Bill",Incumbent,"42,481","Verge, Bill",Challenger,N/A,N/A,N/A,N/A,"8,324","54,536",R,0,69.55,30.45
House,New Hampshire,1992,District 1,19920101,"135,936","Zeliff, Bill",Incumbent,"108,578","Preston, Robert T.",Challenger,N/A,N/A,N/A,N/A,"11,339","27,358",R,0,55.59,44.41
House,New Hampshire,2000,District 2,19920101,"152,581","Bass, Charles",Incumbent,"110,367","Brannen, Barney",Challenger,N/A,N/A,N/A,N/A,"8,607","42,214",R,0,58.03,41.97
House,New Hampshire,1998,District 2,19920101,"85,740","Bass, Charles",Incumbent,"72,217","Rauh, Mary",Challenger,N/A,N/A,N/A,N/A,"3,419","13,523",R,0,54.28,45.72
House,New Hampshire,1996,District 2,19920101,"123,001","Bass, Charles",Incumbent,"105,867","Arnesen, Deborah A.",Challenger,N/A,N/A,N/A,N/A,"14,719","17,134",R,0,53.74,46.26
House,New Hampshire,1994,District 2,19920101,"83,121","Bass, Charles",Challenger,"74,243","Swett, Dick",Incumbent,N/A,N/A,N/A,N/A,"4,209","8,878",R,0,52.82,47.18
House,New Hampshire,1992,District 2,19920101,"91,126","Hatch, Bill",Challenger,"157,328","Swett, Dick",Incumbent,N/A,N/A,N/A,N/A,"6,731","66,202",D,0,36.68,63.32
House,New Jersey,2000,District 1,19920101,"46,455","Cathcart, Charlene",Challenger,"167,327","Andrews, Robert E.",Incumbent,N/A,N/A,N/A,N/A,"5,830","120,872",D,0,21.73,78.27
House,New Jersey,1998,District 1,19920101,"27,855","Richards, Ronald L.",Challenger,"90,279","Andrews, Robert E.",Incumbent,N/A,N/A,N/A,N/A,"5,208","62,424",D,0,23.58,76.42
House,New Jersey,1996,District 1,19920101,"44,286","Suplee, Mel",Challenger,"160,415","Andrews, Robert E.",Incumbent,N/A,N/A,N/A,N/A,"6,034","116,129",D,0,21.63,78.37
House,New Jersey,1994,District 1,19920101,"41,505","Hogan, James N.",Challenger,"108,155","Andrews, Robert E.",Incumbent,N/A,N/A,N/A,N/A,N/A,"66,650",D,0,27.73,72.27
House,New Jersey,1992,District 1,19920101,"65,123","Solomon, Lee A.",Challenger,"153,525","Andrews, Robert E.",Incumbent,N/A,N/A,N/A,N/A,"9,424","88,402",D,0,29.78,70.22
House,New Jersey,2000,District 2,19920101,"155,187","LoBiondo, Frank A.",Incumbent,"74,632","Janosik, Edward G.",Challenger,N/A,N/A,N/A,N/A,"4,040","80,555",R,0,67.53,32.47
House,New Jersey,1998,District 2,19920101,"93,248","LoBiondo, Frank A.",Incumbent,"43,563","Hunsberger, Derek",Challenger,N/A,N/A,N/A,N/A,"4,703","49,685",R,0,68.16,31.84
House,New Jersey,1996,District 2,19920101,"133,130","LoBiondo, Frank A.",Incumbent,"83,912","Katz, Ruth",Challenger,N/A,N/A,N/A,N/A,"3,697","49,218",R,0,61.34,38.66
House,New Jersey,1994,District 2,19920101,"102,566","LoBiondo, Frank A.",Challenger,"56,151","Magazzu, Louis N.",Challenger,N/A,N/A,N/A,N/A,N/A,"46,415",R,0,64.62,35.38
House,New Jersey,1992,District 2,19920101,"98,315","LoBiondo, Frank A.",Challenger,"132,465","Hughes, William J.",Incumbent,N/A,N/A,N/A,N/A,"6,247","34,150",D,0,42.6,57.4
House,New Jersey,2000,District 3,19920101,"157,053","Saxton, H. James",Incumbent,"112,848","Levin, Susan Bass",Challenger,N/A,N/A,N/A,N/A,"4,182","44,205",R,0,58.19,41.81
House,New Jersey,1998,District 3,19920101,"97,508","Saxton, H. James",Incumbent,"55,248","Polansky, Steven J.",Challenger,N/A,N/A,N/A,N/A,"4,483","42,260",R,0,63.83,36.17
House,New Jersey,1996,District 3,19920101,"157,503","Saxton, H. James",Incumbent,"81,590","Leonardi, John",Challenger,N/A,N/A,N/A,N/A,"6,185","75,913",R,0,65.88,34.12
House,New Jersey,1994,District 3,19920101,"115,750","Saxton, H. James",Incumbent,"54,441","Smith, James B.",Challenger,N/A,N/A,N/A,N/A,"4,137","61,309",R,0,68.01,31.99
House,New Jersey,1992,District 3,19920101,"151,368","Saxton, H. James",Incumbent,"94,012","Ryan, Timothy",Challenger,N/A,N/A,N/A,N/A,"10,418","57,356",R,0,61.69,38.31
House,New Jersey,2000,District 4,19920101,"158,515","Smith, Christopher H.",Incumbent,"87,956","Gusciora, Reed",Challenger,N/A,N/A,N/A,N/A,"4,339","70,559",R,0,64.31,35.69
House,New Jersey,1998,District 4,19920101,"92,991","Smith, Christopher H.",Incumbent,"52,281","Schneider, Larry",Challenger,N/A,N/A,N/A,N/A,"4,305","40,710",R,0,64.01,35.99
House,New Jersey,1996,District 4,19920101,"146,404","Smith, Christopher H.",Incumbent,"77,565","Meara, Kevin J.",Challenger,N/A,N/A,N/A,N/A,"6,145","68,839",R,0,65.37,34.63
House,New Jersey,1994,District 4,19920101,"109,818","Smith, Christopher H.",Incumbent,"49,537","Walsh, Ralph",Challenger,N/A,N/A,N/A,N/A,"2,412","60,281",R,0,68.91,31.09
House,New Jersey,1992,District 4,19920101,"149,095","Smith, Christopher H.",Incumbent,"84,514","Hughes, Brian M.",Challenger,N/A,N/A,N/A,N/A,"7,616","64,581",R,0,63.82,36.18
House,New Jersey,2000,District 5,19920101,"175,546","Roukema, Margaret S.",Incumbent,"81,715","Mercurio, Linda A.",Challenger,N/A,N/A,N/A,N/A,"11,263","93,831",R,0,68.24,31.76
House,New Jersey,1998,District 5,19920101,"106,304","Roukema, Margaret S.",Incumbent,"55,487","Schneider, Mike",Challenger,N/A,N/A,N/A,N/A,"5,027","50,817",R,0,65.7,34.3
House,New Jersey,1996,District 5,19920101,"181,323","Roukema, Margaret S.",Incumbent,"62,956","Auer, Bill",Challenger,N/A,N/A,N/A,N/A,"10,054","118,367",R,0,74.23,25.77
House,New Jersey,1994,District 5,19920101,"139,964","Roukema, Margaret S.",Incumbent,"41,275","Auer, Bill",Challenger,N/A,N/A,N/A,N/A,"7,266","98,689",R,0,77.23,22.77
House,New Jersey,1992,District 5,19920101,"196,198","Roukema, Margaret S.",Incumbent,"67,579","Lucas, Frank R.",Challenger,N/A,N/A,N/A,N/A,"10,594","128,619",R,0,74.38,25.62
House,New Jersey,2000,District 6,19920101,"62,454","Kennedy, Brian T.",Challenger,"141,698","Pallone, Frank",Incumbent,N/A,N/A,N/A,N/A,"5,700","79,244",D,0,30.59,69.41
House,New Jersey,1998,District 6,19920101,"55,180","Ferguson, Mike",Challenger,"78,102","Pallone, Frank",Incumbent,N/A,N/A,N/A,N/A,"3,730","22,922",D,0,41.4,58.6
House,New Jersey,1996,District 6,19920101,"73,402","Corodemus, Steven J.",Challenger,"124,635","Pallone, Frank",Incumbent,N/A,N/A,N/A,N/A,"5,441","51,233",D,0,37.06,62.94
House,New Jersey,1994,District 6,19920101,"55,287","Herson, Mike",Challenger,"88,922","Pallone, Frank",Incumbent,N/A,N/A,N/A,N/A,"3,122","33,635",D,0,38.34,61.66
House,New Jersey,1992,District 6,19920101,"100,949","Kyrillos, Joseph M.",Challenger,"118,266","Pallone, Frank",Incumbent,N/A,N/A,N/A,N/A,"6,878","17,317",D,0,46.05,53.95
House,New Jersey,2000,District 7,19920101,"128,434","Ferguson, Mike",Challenger,"113,479","Connelly, Maryanne",Challenger,N/A,N/A,N/A,N/A,"7,086","14,955",R,0,53.09,46.91
House,New Jersey,1998,District 7,19920101,"77,751","Franks, Bob",Incumbent,"65,776","Connelly, Maryanne",Challenger,N/A,N/A,N/A,N/A,"4,515","11,975",R,0,54.17,45.83
House,New Jersey,1996,District 7,19920101,"128,817","Franks, Bob",Incumbent,"97,283","Lerner, Larry",Challenger,N/A,N/A,N/A,N/A,"6,465","31,534",R,0,56.97,43.03
House,New Jersey,1994,District 7,19920101,"98,814","Franks, Bob",Incumbent,"64,231","Carroll, Karen",Challenger,N/A,N/A,N/A,N/A,"2,812","34,583",R,0,60.61,39.39
House,New Jersey,1992,District 7,19920101,"132,174","Franks, Bob",Challenger,"105,761","Sendelsky, Leonard R.",Challenger,N/A,N/A,N/A,N/A,"10,147","26,413",R,0,55.55,44.45
House,New Jersey,2000,District 8,19920101,"60,606","Fusco, Anthony Jr.",Challenger,"134,074","Pascrell, William J. Jr.",Incumbent,N/A,N/A,N/A,N/A,"5,452","73,468",D,0,31.13,68.87
House,New Jersey,1998,District 8,19920101,"46,289","Kirnan, Matthew J.",Challenger,"81,068","Pascrell, William J. Jr.",Incumbent,N/A,N/A,N/A,N/A,"3,231","34,779",D,0,36.35,63.65
House,New Jersey,1996,District 8,19920101,"92,604","Martini, Bill",Incumbent,"98,853","Pascrell, William J. Jr.",Challenger,N/A,N/A,N/A,N/A,"1,621","6,249",D,0,48.37,51.63
House,New Jersey,1994,District 8,19920101,"70,494","Martini, Bill",Challenger,"68,661","Klein, Herbert C.",Incumbent,N/A,N/A,N/A,N/A,"2,213","1,833",R,0,50.66,49.34
